,I Knew I Loved You_Savage Garden
0,maybe
1,intuition
2,things
3,you
4,question
5,like
6,your
7,eyes
8,i
9,see
10,my
11,future
12,instant
13,goes
14,i
15,think
16,i've
17,found
18,my
19,best
20,friend
21,prechorus
22,i
23,know
24,might
25,sound
26,little
27,crazy
28,i
29,believe
30,i
31,knew
32,i
33,loved
34,you
35,i
36,met
37,you
38,i
39,think
40,i
41,dreamed
42,you
43,life
44,i
45,knew
46,i
47,loved
48,you
49,i
50,met
51,you
52,i
53,waiting
54,my
55,life
56,there's
57,rhyme
58,reason
59,sense
60,completion
61,your
62,eyes
63,i
64,see
65,missing
66,pieces
67,i'm
68,searching
69,i
70,think
71,i
72,found
73,my
74,way
75,home
76,prechorus
77,i
78,know
79,might
80,sound
81,little
82,crazy
83,i
84,believe
85,i
86,knew
87,i
88,loved
89,you
90,i
91,met
92,you
93,i
94,think
95,i
96,dreamed
97,you
98,life
99,i
100,knew
101,i
102,loved
103,you
104,i
105,met
106,you
107,i
108,waiting
109,my
110,life
111,i
112,complete
113,i
114,found
115,you
116,i
117,knew
118,i
119,loved
120,you
121,i
122,met
123,you
124,i
125,think
126,i
127,dreamed
128,you
129,life
130,i
131,knew
132,i
133,loved
134,you
135,i
136,met
137,you
138,i
139,waiting
140,my
141,life
142,i
143,knew
144,i
145,loved
146,you
147,i
148,met
149,you
150,i
151,think
152,i
153,dreamed
154,you
155,my
156,life
157,i
158,knew
159,i
160,loved
161,you
162,i
163,met
164,you
165,i
166,waiting
167,my
168,life
