,Let Her Cry_Hootie & The Blowfish
0,sits
1,alone
2,lamp
3,post
4,trying
5,find
6,thought
7,that's
8,escaped
9,mind
10,says
11,dad's
12,one
13,love
14,stipe's
15,far
16,behind
17,never
18,lets
19,tell
20,where's
21,much
22,drink
23,say
24,care
25,run
26,hands
27,dark
28,hair
29,pray
30,god
31,gotta
32,help
33,fly
34,away
35,let
36,cry
37,tears
38,fall
39,like
40,rain
41,let
42,sing
43,eases
44,pain
45,let
46,go
47,let
48,walk
49,right
50,sun
51,comes
52,tomorrow
53,let
54,let
55,morning
56,woke
57,alone
58,found
59,note
60,standin'
61,phone
62,saying
63,maybe
64,maybe
65,i'll
66,back
67,day
68,wanted
69,look
70,walked
71,know
72,sat
73,back
74,beer
75,felt
76,sorry
77,saying
78,let
79,cry
80,tears
81,fall
82,like
83,rain
84,let
85,sing
86,eases
87,pain
88,let
89,go
90,let
91,walk
92,right
93,sun
94,comes
95,tomorrow
96,let
97,let
98,solo
99,let
100,cry
101,tears
102,fall
103,like
104,rain
105,let
106,sing
107,eases
108,pain
109,let
110,go
111,let
112,walk
113,right
114,sun
115,comes
116,tomorrow
117,let
118,oh
119,bridge
120,last
121,night
122,tried
123,leave
124,cried
125,much
126,could
127,believe
128,girl
129,fell
130,love
131,long
132,ago
133,went
134,back
135,get
136,high
137,sat
138,couch
139,cried
140,yelling
141,"""oh"
142,mama
143,please
144,help
145,"me"""
146,hold
147,hand
148,let
149,cry
150,tears
151,fall
152,like
153,rain
154,let
155,sing
156,eases
157,pain
158,let
159,go
160,let
161,walk
162,right
163,sun
164,comes
165,tomorrow
166,let
167,let
168,cry
169,tears
170,fall
171,like
172,rain
173,let
174,sing
175,eases
176,pain
177,let
178,go
179,let
180,walk
181,right
182,sun
183,comes
184,tomorrow
185,let
186,oh
187,let
