,Suzy Lee_The White Stripes
0,there's
1,story
2,i
3,would
4,like
5,tell
6,my
7,problem
8,one
9,you
10,know
11,well
12,one
13,you
14,know
15,well
16,ms
17,suzy
18,lee
19,one
20,i'm
21,speaking
22,question
23,she
24,one
25,i
26,love
27,she
28,one
29,i
30,love
31,alright
32,she
33,one
34,i
35,love
36,she
37,one
38,i
39,love
40,she
41,sent
42,me
43,flowers
44,her
45,tears
46,burned
47,inside
48,you
49,know
50,i'd
51,i
52,would
53,run
54,hide
55,i
56,would
57,run
58,hide
59,paper
60,my
61,name
62,question
63,you
64,feel
65,you
66,feel
67,alright
68,end
69,tale
70,one
71,i'm
72,speaking
73,i
74,wish
75,i
76,answer
77,i
78,know
79,really
80,love
81,really
82,love
83,really
84,love
85,really
86,love
