,Trouble_Metronomy
0,joseph
1,mount
2,wanna
3,go
4,wanna
5,stay
6,guess
7,we're
8,gonna
9,argue
10,there's
11,tear
12,eye
13,there's
14,'i'
15,team
16,guess
17,we're
18,gonna
19,argue
20,oh-oh-oh
21,pre-chorus
22,joseph
23,mount
24,always
25,come
26,back
27,heart
28,oh
29,true
30,might
31,hurt
32,know
33,true
34,i'm
35,loving
36,oh
37,we're
38,arguing
39,joseph
40,mount
41,there's
42,one
43,thing
44,causing
45,trouble
46,girl
47,one
48,thing
49,caught
50,say
51,boyfriend
52,lives
53,bubble
54,i'd
55,let
56,yeah
57,i'd
58,let
59,bridge
60,joseph
61,mount
62,darling
63,oh
64,darling
65,darling
66,oh
67,darling
68,darling
69,oh
70,darling
71,darling
72,oh
73,darling
74,break
75,outro
76,marion
77,cassan
78,ce
79,n'est
80,pas
81,la
82,mer
83,à
84,boire
85,mais
86,je
87,ne
88,suis
89,partout
90,voyons
91,ne
92,t'en
93,fais
94,pas
95,oublions
96,ça
97,et
98,n'en
99,parlons
100,plus
101,ensemble
102,ensemble
