,Greatest Love of All_Whitney Houston
0,believe
1,children
2,future
3,teach
4,well
5,let
6,lead
7,way
8,show
9,beauty
10,possess
11,inside
12,give
13,sense
14,pride
15,make
16,easier
17,let
18,children's
19,laughter
20,remind
21,us
22,used
23,everybody's
24,searching
25,hero
26,people
27,need
28,someone
29,look
30,never
31,found
32,anyone
33,fulfilled
34,needs
35,lonely
36,place
37,learned
38,depend
39,prechorus
40,decided
41,long
42,ago
43,never
44,walk
45,anyone's
46,shadows
47,fail
48,succeed
49,least
50,i'll
51,live
52,believe
53,matter
54,take
55,can't
56,take
57,away
58,dignity
59,greatest
60,love
61,happening
62,found
63,greatest
64,love
65,inside
66,greatest
67,love
68,easy
69,achieve
70,learning
71,love
72,greatest
73,love
74,believe
75,children
76,future
77,teach
78,well
79,let
80,lead
81,way
82,show
83,beauty
84,possess
85,inside
86,give
87,sense
88,pride
89,make
90,easier
91,let
92,children's
93,laughter
94,remind
95,us
96,used
97,prechorus
98,decided
99,long
100,ago
101,never
102,walk
103,anyone's
104,shadows
105,fail
106,succeed
107,least
108,i'll
109,live
110,believe
111,matter
112,take
113,can't
114,take
115,away
116,dignity
117,greatest
118,love
119,happening
120,found
121,greatest
122,love
123,inside
124,greatest
125,love
126,easy
127,achieve
128,learning
129,love
130,greatest
131,love
132,chance
133,special
134,place
135,dreaming
136,leads
137,lonely
138,place
139,find
140,strength
141,love
