,For the First Time_The Script
0,laid
1,bed
2,broken
3,heart
4,i'm
5,drinking
6,jack
7,alone
8,my
9,local
10,bar
11,know
12,got
13,mad
14,situation
15,things
16,frustration
17,tryna
18,make
19,work
20,man
21,times
22,hard
23,she
24,needs
25,me
26,i
27,can't
28,seem
29,find
30,time
31,i
32,got
33,new
34,job
35,unemployment
36,line
37,know
38,got
39,mess
40,god's
41,test
42,someone
43,help
44,us
45,'cause
46,we're
47,best
48,tryna
49,make
50,work
51,man
52,times
53,hard
54,we're
55,gonna
56,start
57,drinking
58,old
59,cheap
60,bottles
61,wine
62,shit
63,talking
64,night
65,saying
66,things
67,yeah
68,we're
69,smiling
70,we're
71,close
72,tears
73,even
74,years
75,got
76,feeling
77,we're
78,meeting
79,first
80,time
81,line
82,dole
83,her
84,head
85,held
86,high
87,i
88,lost
89,my
90,job
91,lose
92,my
93,pride
94,know
95,we're
96,going
97,make
98,work
99,hurts
100,you
101,pick
102,yourself
103,you
104,get
105,kicked
106,dirt
107,tryna
108,make
109,work
110,man
111,times
112,hard
113,we're
114,gonna
115,start
116,drinking
117,old
118,cheap
119,bottles
120,wine
121,shit
122,talking
123,night
124,things
125,yeah
126,we're
127,smiling
128,we're
129,close
130,tears
131,even
132,years
133,got
134,feeling
135,we're
136,meeting
137,first
138,time
139,drinking
140,old
141,cheap
142,bottles
143,wine
144,shit
145,talking
146,night
147,saying
148,things
149,we're
150,smiling
151,we're
152,close
153,tears
154,even
155,years
156,got
157,feeling
158,we're
159,meeting
160,first
161,time
162,yeah
163,first
164,time
165,oh
166,first
167,time
168,yeah
169,first
170,time
171,got
172,feeling
173,we're
174,meeting
175,first
176,time
177,oh
178,times
179,hard
180,yeah
181,they're
182,making
183,us
184,crazy
185,give
186,me
187,baby
188,oh
189,times
190,hard
191,yeah
192,they're
193,making
194,us
195,crazy
196,give
197,me
198,baby
199,oh
200,times
201,hard
202,yeah
203,they're
204,making
205,us
206,crazy
207,give
208,me
209,baby
210,oh
211,times
212,hard
213,yeah
214,they're
215,making
216,us
217,crazy
218,give
219,me
220,baby
