,When It Rains_Paramore
0,rains
1,side
2,town
3,touches
4,everything
5,say
6,mean
7,miss
8,thing
9,pre-chorus
10,made
11,bed
12,bottom
13,blackest
14,hole
15,blackest
16,hole
17,convinced
18,reason
19,see
20,sun
21,anymore
22,oh
23,oh
24,could
25,oh
26,never
27,saw
28,coming
29,oh
30,oh
31,need
32,ending
33,can't
34,stay
35,long
36,enough
37,explain
38,rains
39,always
40,find
41,escape
42,running
43,away
44,ones
45,love
46,everything
47,pre-chorus
48,made
49,bed
50,bottom
51,blackest
52,hole
53,blackest
54,hole
55,sleep
56,till
57,may
58,say
59,wanna
60,see
61,sun
62,anymore
63,oh
64,oh
65,could
66,oh
67,never
68,saw
69,coming
70,oh
71,oh
72,need
73,ending
74,can't
75,stay
76,long
77,enough
78,explain
79,bridge
80,take
81,time
82,take
83,time
84,take
85,chances
86,turn
87,around
88,let's
89,take
90,chances
91,we'll
92,make
93,somehow
94,take
95,chances
96,turn
97,around
98,turn
99,around
100,breakdown
101,oh
102,could
103,oh
104,never
105,saw
106,coming
107,oh
108,oh
109,could
110,oh
111,never
112,saw
113,coming
114,oh
115,could
116,oh
117,never
118,saw
119,coming
120,oh
121,oh
122,need
123,ending
124,can't
125,stay
126,long
127,enough
128,explain
129,outro
130,take
131,time
132,take
133,time
