,All I Need_Radiohead
0,i'm
1,next
2,act
3,waiting
4,wings
5,i'm
6,animal
7,trapped
8,your
9,hot
10,car
11,i
12,days
13,you
14,choose
15,ignore
16,you
17,i
18,need
19,you're
20,i
21,need
22,i'm
23,middle
24,your
25,picture
26,lying
27,reeds
28,i'm
29,moth
30,wants
31,share
32,your
33,light
34,i'm
35,insect
36,trying
37,get
38,night
39,i
40,stick
41,you
42,others
43,you
44,i
45,need
46,you're
47,i
48,need
49,i'm
50,middle
51,your
52,picture
53,lying
54,reeds
55,wrong
56,wrong
57,wrong
58,right
59,right
60,right
61,wrong
62,right
63,right
64,right
