,Right Action_Franz Ferdinand
0,come
1,home
2,practically
3,nearly
4,forgiven
5,right
6,thoughts
7,right
8,words
9,right
10,action
11,almost
12,everything
13,could
14,forgotten
15,right
16,thoughts
17,right
18,words
19,right
20,action
21,leave
22,saturday
23,night
24,sunday
25,morning
26,good
27,morning
28,sometimes
29,wish
30,weather
31,permitting
32,right
33,thoughts
34,right
35,words
36,right
37,action
38,time
39,i'll
40,love
41,forever
42,right
43,thoughts
44,right
45,words
46,right
47,action
48,bridge
49,chalcot
50,gardens
51,england’s
52,lane
53,hampstead
54,london
55,outro
56,sometimes
57,wish
58,weather
59,permitting
60,right
61,thoughts
62,right
63,words
64,right
65,action
66,right
67,thoughts
68,right
69,words
70,right
71,action
72,right
73,thoughts
74,right
75,words
76,right
77,action
78,right
79,thoughts
80,right
81,words
82,right
83,action
