,Josie_blink-182
0,mark
1,hoppus
2,yeah
3,girlfriend
4,takes
5,home
6,i'm
7,drunk
8,drive
9,get
10,jealous
11,hang
12,guys
13,laughs
14,dumb
15,jokes
16,one
17,brings
18,mexican
19,food
20,sombrero
21,yeah
22,mark
23,hoppus
24,girlfriend
25,likes
26,ul
27,dhc
28,smart
29,independent
30,think
31,needs
32,quite
33,half
34,much
35,know
36,need
37,wonder
38,there's
39,another
40,guy
41,she'd
42,prefer
43,mark
44,hoppus
45,feel
46,like
47,giving
48,like
49,world
50,falling
51,show
52,still
53,watching
54,vacation
55,see
56,pretty
57,face
58,takes
59,away
60,better
61,place
62,post-chorus
63,tom
64,delonge
65,+
66,mark
67,hoppus
68,know
69,everything
70,know
71,everything
72,know
73,everything
74,everything's
75,gonna
76,fine
77,know
78,everything
79,know
80,everything
81,know
82,everything
83,everything's
84,gonna
85,fine
86,mark
87,hoppus
88,yeah
89,girlfriend
90,takes
91,collect
92,calls
93,road
94,seem
95,matter
96,i'm
97,lacking
98,bulge
99,laughs
100,dumb
101,jokes
102,one
103,brings
104,mexican
105,food
106,sombrero
107,mark
108,hoppus
109,feel
110,like
111,giving
112,like
113,world
114,falling
115,show
116,still
117,watching
118,vacation
119,see
120,pretty
121,face
122,takes
123,away
124,better
125,place
126,post-chorus
127,tom
128,delonge
129,+
130,mark
131,hoppus
132,know
133,everything
134,know
135,everything
136,know
137,everything
138,everything's
139,gonna
140,fine
141,know
142,everything
143,know
144,everything
145,know
146,everything
147,everything's
148,gonna
149,fine
150,know
151,everything
152,know
153,everything
154,know
155,everything
156,everything's
157,gonna
158,fine
159,know
160,everything
161,know
162,everything
163,know
164,everything
165,everything's
166,gonna
167,fine
168,instrumental
169,break
170,post-chorus
171,tom
172,delonge
173,+
174,mark
175,hoppus
176,know
177,everything
178,know
179,everything
180,know
181,everything
182,everything's
183,gonna
184,fine
185,know
186,everything
187,know
188,everything
189,know
190,everything
191,everything's
192,gonna
193,fine
194,know
195,everything
196,know
197,everything
198,know
199,everything
200,everything's
201,gonna
202,fine
203,know
204,everything
205,know
206,everything
207,know
208,everything
209,everything's
210,gonna
211,fine
