,You Give Me Something_James Morrison
0,stay
1,morning
2,hold
3,sleep
4,meant
5,tread
6,water
7,i've
8,gotten
9,deep
10,every
11,piece
12,wants
13,another
14,piece
15,backs
16,away
17,cause
18,give
19,something
20,makes
21,scared
22,alright
23,could
24,nothing
25,i'm
26,willing
27,give
28,try
29,please
30,give
31,something
32,cause
33,someday
34,might
35,know
36,heart
37,waited
38,hours
39,spend
40,little
41,time
42,alone
43,say
44,i've
45,never
46,bought
47,flowers
48,can't
49,work
50,mean
51,never
52,thought
53,i'd
54,love
55,someone
56,someone
57,else's
58,dream
59,give
60,something
61,makes
62,scared
63,alright
64,could
65,nothing
66,i'm
67,willing
68,give
69,try
70,please
71,give
72,something
73,cause
74,someday
75,might
76,call
77,heart
78,bridge
79,might
80,second
81,late
82,words
83,could
84,never
85,say
86,gonna
87,come
88,anyway
89,cause
90,give
91,something
92,makes
93,scared
94,alright
95,could
96,nothing
97,i'm
98,willing
99,give
100,try
101,please
102,give
103,something
104,cause
105,give
106,something
107,makes
108,scared
109,alright
110,could
111,nothing
112,i'm
113,willing
114,give
115,try
116,please
117,give
118,something
119,cause
120,someday
121,might
122,know
123,heart
124,know
125,heart
126,know
127,heart
128,know
129,heart
