,Secret Smile_Semisonic
0,nobody
1,knows
2,you've
3,got
4,secret
5,smile
6,you
7,use
8,me
9,nobody
10,knows
11,you've
12,got
13,secret
14,smile
15,you
16,use
17,me
18,use
19,prove
20,remove
21,whirling
22,sadness
23,i'm
24,losing
25,bluesing
26,you
27,save
28,me
29,madness
30,nobody
31,knows
32,you've
33,got
34,secret
35,smile
36,you
37,use
38,me
39,nobody
40,knows
41,you've
42,got
43,secret
44,smile
45,you
46,use
47,me
48,save
49,me
50,i'm
51,waiting
52,i'm
53,needing
54,hear
55,me
56,pleading
57,soothe
58,me
59,improve
60,me
61,i'm
62,grieving
63,i'm
64,barely
65,believing
66,you
67,flying
68,around
69,around
70,world
71,i'm
72,lying
73,alonely
74,i
75,know
76,there's
77,something
78,sacred
79,free
80,reserved
81,received
82,me
