,To Your Love_Fiona Apple
0,here's
1,another
2,speech
3,you
4,wish
5,i'd
6,swallow
7,another
8,cue
9,you
10,fold
11,your
12,ears
13,another
14,train
15,thought
16,hard
17,follow
18,chuggin'
19,along
20,song
21,belongs
22,shifting
23,gears
24,please
25,forgive
26,me
27,my
28,distance
29,pain
30,evident
31,my
32,existence
33,please
34,forgive
35,me
36,my
37,distance
38,shame
39,manifest
40,my
41,resistance
42,your
43,love
44,your
45,love
46,your
47,love
48,i
49,would've
50,warned
51,you
52,really
53,what's
54,point
55,caution
56,could
57,rarely
58,ever
59,helps
60,my
61,demeanor
62,tends
63,disappoint
64,hard
65,enough
66,even
67,trying
68,civil
69,myself
70,please
71,forgive
72,me
73,my
74,distance
75,pain
76,evident
77,my
78,existence
79,please
80,forgive
81,me
82,my
83,distance
84,shame
85,manifest
86,my
87,resistance
88,your
89,love
90,your
91,love
92,your
93,love
94,my
95,derringdo
96,allows
97,me
98,dance
99,rigadoon
100,around
101,you
102,time
103,i'm
104,close
105,you
106,i
107,lose
108,my
109,desideratum
110,you
111,you
112,tell
113,me
114,baby
115,what's
116,word
117,i
118,your
119,gal
120,i
121,get
122,town
123,i
124,need
125,reassured
126,you
127,deal
128,you
129,deal
130,i
131,lay
132,please
133,forgive
134,me
135,my
136,distance
137,pain
138,evident
139,my
140,existence
141,please
142,forgive
143,me
144,my
145,distance
146,shame
147,manifest
148,my
149,resistance
150,your
151,love
152,your
153,love
154,your
155,love
156,your
157,love
158,your
159,love
160,your
161,love
162,your
163,love
164,your
165,love
