,Nobody Does It Better_Carly Simon
0,nobody
1,better
2,makes
3,me
4,feel
5,sad
6,rest
7,nobody
8,half
9,good
10,you
11,baby
12,you’re
13,best
14,i
15,wasn’t
16,looking
17,somehow
18,you
19,found
20,me
21,i
22,tried
23,hide
24,your
25,love
26,light
27,like
28,heaven
29,me
30,spy
31,loved
32,me
33,keeping
34,my
35,secrets
36,safe
37,tonight
38,nobody
39,better
40,though
41,sometimes
42,i
43,wish
44,someone
45,could
46,nobody
47,quite
48,way
49,you
50,d’you
51,good
52,way
53,you
54,hold
55,me
56,whenever
57,you
58,hold
59,me
60,there’s
61,kind
62,magic
63,inside
64,you
65,keeps
66,me
67,running
68,keep
69,comin’
70,how’d
71,you
72,learn
73,things
74,you
75,oh
76,nobody
77,better
78,makes
79,me
80,feel
81,sad
82,rest
83,nobody
84,half
85,good
86,you
87,baby
88,baby
89,darlin’
90,you’re
91,best
92,baby
93,you're
94,best
95,darlin'
96,you're
97,best
98,baby
99,you're
100,best
