,My Wandering Days Are Over_Belle and Sebastian
0,you
1,know
2,my
3,wandering
4,days
5,oh
6,mean
7,i'm
8,getting
9,boring
10,you
11,tell
12,me
13,i'm
14,tired
15,listening
16,myself
17,yeah
18,i'm
19,tired
20,fixing
21,things
22,michael
23,rest
24,you
25,know
26,my
27,bipbopping
28,days
29,i
30,hung
31,my
32,boots
33,retired
34,disco
35,floor
36,centre
37,my
38,called
39,space
40,your
41,bed
42,wardrobe
43,louvre
44,doors
45,louvre
46,doors
47,you
48,know
49,my
50,celibate
51,days
52,you
53,put
54,me
55,straight
56,finer
57,points
58,my
59,speech
60,rehearsed
61,mirror
62,my
63,steamy
64,bathroom
65,lino
66,tells
67,sorry
68,story
69,monologue
70,monologue
71,six
72,months
73,winter's
74,gone
75,disenchanted
76,pony
77,left
78,town
79,circus
80,boy
81,circus
82,boy
83,got
84,lonely
85,summer
86,sister
87,song's
88,written
89,lonely
90,circus
91,boy
92,feeling
93,melancholy
94,got
95,fate
96,that's
97,spooky
98,witch
99,sexy
100,dress
101,bugging
102,me
103,story
104,way
105,story
106,sebastian
107,belle
108,singer
109,yeah
110,you
111,know
112,my
113,one
114,man
115,band
116,i
117,hit
118,drum
119,final
120,time
121,i
122,walked
123,away
124,i
125,saw
126,you
127,japanese
128,restaurant
129,you
130,business
131,men
132,piano
133,belle
134,you
135,said
136,living
137,hell
138,you
139,said
140,you
141,hell
142,six
143,months
144,winter's
145,gone
146,disenchanted
147,pony
148,left
149,town
150,circus
151,boy
152,circus
153,boy
154,got
155,lonely
156,summer
157,sister
158,song's
159,written
160,lonely
161,circus
162,boy
163,feeling
164,melancholy
165,six
166,months
167,winter's
168,gone
169,disenchanted
170,pony
171,left
172,town
173,circus
174,boy
175,circus
176,boy
177,got
178,lonely
179,summer
180,sister
181,song's
182,written
183,lonely
184,circus
185,boy
186,feeling
187,melancholy
188,you
189,love
190,me
191,you
192,still
193,really
194,me
195,you
196,love
197,me
198,pretty
199,lazy
200,pretty
201,lonely
202,melancholy
203,lonely
204,melancholy
205,lonely
206,melancholy
