,Love Song_Sara Bareilles
0,head
1,water
2,tell
3,me
4,breathe
5,easy
6,breathing
7,gets
8,harder
9,even
10,i
11,know
12,made
13,room
14,me
15,soon
16,see
17,i'm
18,happy
19,your
20,hands
21,i'm
22,unusually
23,hard
24,hold
25,blank
26,stares
27,blank
28,pages
29,easy
30,way
31,say
32,you
33,mean
34,well
35,you
36,make
37,hard
38,me
39,i'm
40,gonna
41,write
42,you
43,love
44,song
45,'cause
46,you
47,asked
48,'cause
49,you
50,need
51,one
52,you
53,see
54,i'm
55,gonna
56,write
57,you
58,love
59,song
60,'cause
61,you
62,tell
63,me
64,make
65,break
66,you're
67,your
68,way
69,i'm
70,gonna
71,write
72,you
73,stay
74,you
75,leaving
76,i'm
77,gonna
78,need
79,better
80,reason
81,write
82,you
83,love
84,song
85,today
86,i
87,learned
88,hard
89,way
90,say
91,things
92,you
93,wanna
94,hear
95,my
96,heavy
97,heart
98,sinks
99,deep
100,you
101,your
102,twisted
103,words
104,your
105,help
106,hurts
107,you
108,i
109,thought
110,you
111,hello
112,high
113,dry
114,convinced
115,me
116,please
117,you
118,made
119,me
120,think
121,i
122,need
123,i'm
124,trying
125,let
126,you
127,hear
128,me
129,i
130,i'm
131,gonna
132,write
133,you
134,love
135,song
136,'cause
137,you
138,asked
139,'cause
140,you
141,need
142,one
143,you
144,see
145,i'm
146,gonna
147,write
148,you
149,love
150,song
151,'cause
152,you
153,tell
154,me
155,make
156,break
157,you're
158,your
159,way
160,i'm
161,gonna
162,write
163,you
164,stay
165,you
166,leaving
167,i'm
168,gonna
169,need
170,better
171,reason
172,write
173,you
174,love
175,song
176,today
177,promise
178,me
179,you'll
180,leave
181,light
182,help
183,me
184,see
185,daylight
186,my
187,guide
188,gone
189,'cause
190,i
191,believe
192,there's
193,way
194,you
195,love
196,me
197,i
198,say
199,i
200,write
201,you
202,love
203,song
204,'cause
205,you
206,asked
207,'cause
208,you
209,need
210,one
211,you
212,see
213,i'm
214,gonna
215,write
216,you
217,love
218,song
219,'cause
220,you
221,tell
222,me
223,make
224,break
225,you
226,wanted
227,love
228,song
229,'cause
230,you
231,asked
232,'cause
233,you
234,need
235,one
236,you
237,see
238,i'm
239,gonna
240,write
241,you
242,love
243,song
244,'cause
245,you
246,tell
247,me
248,make
249,break
250,you're
251,your
252,way
253,i'm
254,gonna
255,write
256,you
257,stay
258,your
259,heart
260,nowhere
261,i
262,want
263,minute
264,babe
265,i'll
266,walk
267,seven
268,seas
269,i
270,believe
271,there's
272,reason
273,write
274,you
275,love
276,song
277,today
278,today
