,Sixteen_Iggy Pop
0,sweet
1,sixteen
2,leather
3,boots
4,body
5,soul
6,go
7,crazy
8,baby
9,baby
10,i'm
11,hungry
12,sweet
13,sixteen
14,funky
15,bar
16,full
17,faces
18,pretty
19,faces
20,beautiful
21,faces
22,body
23,soul
24,body
25,soul
26,give
27,easy
28,mark
29,broken
30,heart
31,sweet
32,sixteen
33,show
34,explosion
35,sweet
36,sixteen
37,go
38,funky
39,bar
40,get
41,hurt
42,crying
43,inside
44,everybody's
45,fine
46,need
47,tell
48,sweet
49,sixteen
50,give
51,body
52,soul
53,sweet
54,sixteen
55,must
56,hungry
57,go
58,crazy
59,leather
60,boots
61,baby
62,know
63,that's
64,normal
65,well
66,love
67,love
68,love
69,sweet
70,sixteen
71,everywhere
72,go
73,i'm
74,lonely
