,From Me to You_The Beatles
0,john
1,lennon
2,paul
3,mccartney
4,da
5,da
6,da
7,da
8,da
9,dum
10,dum
11,da
12,da
13,da
14,da
15,da
16,da
17,dum
18,dum
19,da
20,john
21,lennon
22,paul
23,mccartney
24,there's
25,anything
26,you
27,want
28,there's
29,anything
30,i
31,call
32,me
33,i'll
34,send
35,along
36,love
37,me
38,you
39,john
40,lennon
41,paul
42,mccartney
43,i've
44,got
45,everything
46,you
47,want
48,like
49,heart
50,that's
51,oh
52,true
53,call
54,me
55,i'll
56,send
57,along
58,love
59,me
60,you
61,john
62,lennon
63,paul
64,mccartney
65,i
66,got
67,arms
68,long
69,hold
70,you
71,keep
72,you
73,my
74,side
75,i
76,got
77,lips
78,long
79,kiss
80,you
81,keep
82,you
83,satisfied
84,oooh
85,john
86,lennon
87,paul
88,mccartney
89,there's
90,anything
91,you
92,want
93,there's
94,anything
95,i
96,call
97,me
98,i'll
99,send
100,along
101,love
102,me
103,you
104,soloverse
105,john
106,lennon
107,paul
108,mccartney
109,me
110,you
111,call
112,me
113,i'll
114,send
115,along
116,love
117,me
118,you
119,john
120,lennon
121,paul
122,mccartney
123,i
124,got
125,arms
126,long
127,hold
128,you
129,keep
130,you
131,my
132,side
133,i
134,got
135,lips
136,long
137,kiss
138,you
139,keep
140,you
141,satisfied
142,oooh
143,john
144,lennon
145,paul
146,mccartney
147,there's
148,anything
149,you
150,want
151,there's
152,anything
153,i
154,call
155,me
156,i'll
157,send
158,along
159,love
160,me
161,you
162,john
163,lennon
164,paul
165,mccartney
166,you
167,you
168,you
