,Midnight Bottle_Colbie Caillat
0,midnight
1,bottle
2,take
3,me
4,calmly
5,my
6,memories
7,everything
8,come
9,back
10,me
11,midnight
12,bottle
13,make
14,real
15,feels
16,like
17,make
18,believe
19,i
20,see
21,little
22,clearly
23,like
24,every
25,single
26,move
27,you
28,make
29,kissing
30,me
31,carefully
32,corners
33,my
34,dreaming
35,eyes
36,i've
37,got
38,midnight
39,bottle
40,gonna
41,drink
42,one
43,way
44,ticket
45,takes
46,me
47,times
48,everything
49,felt
50,right
51,tonight
52,midnight
53,bottle
54,gonna
55,ease
56,my
57,pain
58,feelings
59,driving
60,me
61,insane
62,i
63,think
64,you
65,everything's
66,right
67,tonight
68,got
69,midnight
70,bottle
71,drifting
72,candlelight
73,i
74,find
75,you
76,old
77,time
78,midnight
79,bottle
80,i
81,forgot
82,good
83,felt
84,dream
85,like
86,you
87,me
88,'cause
89,lately
90,i've
91,stumbling
92,feels
93,like
94,i'm
95,recovering
96,i
97,think
98,tonight
99,i've
100,got
101,midnight
102,bottle
103,gonna
104,drink
105,one
106,way
107,ticket
108,takes
109,me
110,times
111,everything
112,felt
113,right
114,tonight
115,midnight
116,bottle
117,gonna
118,ease
119,my
120,pain
121,feelings
122,driving
123,me
124,insane
125,i
126,think
127,you
128,everything's
129,right
130,tonight
131,tonight
132,oh
133,tonight
134,tonight
135,i've
136,got
137,midnight
138,bottle
139,gonna
140,drink
141,one
142,way
143,ticket
144,takes
145,me
146,times
147,everything
148,felt
149,right
150,tonight
151,midnight
152,bottle
153,gonna
154,ease
155,my
156,pain
157,feelings
158,driving
159,me
160,insane
161,i
162,think
163,you
164,everything's
165,right
166,tonight
167,yeah
168,midnight
169,bottle
170,take
171,time
172,away
