,She's the One_Robbie Williams
0,i
1,her
2,she
3,me
4,one
5,free
6,there's
7,somebody
8,calling
9,me
10,one
11,there's
12,somebody
13,calling
14,me
15,one
16,young
17,wrong
18,fine
19,along
20,there's
21,somebody
22,calling
23,me
24,one
25,you
26,get
27,you
28,wanna
29,go
30,you
31,know
32,things
33,you
34,wanna
35,know
36,you're
37,smiling
38,you
39,said
40,you
41,wanna
42,say
43,you
44,know
45,way
46,you
47,wanna
48,play
49,you'll
50,high
51,you'll
52,flying
53,though
54,sea
55,strong
56,i
57,know
58,we'll
59,carry
60,cause
61,there's
62,somebody
63,calling
64,me
65,one
66,there's
67,somebody
68,calling
69,me
70,one
71,you
72,get
73,you
74,wanna
75,go
76,you
77,know
78,things
79,you
80,wanna
81,know
82,you're
83,smiling
84,you
85,said
86,you
87,wanna
88,say
89,you
90,know
91,way
92,you
93,wanna
94,say
95,you'll
96,high
97,you'll
98,flying
99,i
100,her
101,she
102,me
103,one
104,free
105,there's
106,somebody
107,calling
108,me
109,one
110,there's
111,somebody
112,calling
113,me
114,one
115,there's
116,somebody
117,calling
118,me
119,one
120,yeah
121,one
122,there's
123,somebody
124,calling
125,me
126,one
127,one
128,there's
129,somebody
130,calling
131,me
132,one
