,Home_Phillip Phillips
0,hold
1,go
2,roll
3,unfamiliar
4,road
5,although
6,wave
7,wave
8,stringing
9,us
10,along
11,know
12,alone
13,cause
14,i'm
15,gonna
16,make
17,place
18,home
19,pre-hook
20,settle
21,it'll
22,clear
23,pay
24,mind
25,demons
26,fill
27,fear
28,trouble
29,might
30,drag
31,get
32,lost
33,always
34,found
35,hook
36,know
37,alone
38,cause
39,i'm
40,gonna
41,make
42,place
43,home
44,hook
45,ooo-oo-oo-oo-oo-oo-oo
46,oo-oo-oo-oo
47,ooo-oo-oo-oo-oo-oo-oo
48,aaa-aa-aa-aa-aa-aa-aa
49,aa-aa-aa-aaaaaa
50,aaa-aa-aa-aa-aa-aa-aa
51,aaa-aa-aa-aa-aa-aa-aa
52,aa-aa-aa-aaaaaa
53,aaa-aa-aa-aa-aa-aa-aa
54,aaa-aa-aa-aa-aa-aa-aa
55,pre-hook
56,settle
57,it'll
58,clear
59,pay
60,mind
61,demons
62,fill
63,fear
64,trouble
65,might
66,drag
67,get
68,lost
69,always
70,found
71,hook
72,know
73,alone
74,cause
75,i'm
76,gonna
77,make
78,place
79,home
80,hook
81,aaa-aa-aa-aa-aa-aa-aa
82,aa-aa-aa-aaaaaa
83,aaa-aa-aa-aa-aa-aa-aa
84,aaa-aa-aa-aa-aa-aa-aa
85,aaa-aa-aa-aa-aa-aa-aa
86,aa-aa-aa-aaaaaa
87,aaa-aa-aa-aa-aa-aa-aa
88,outro
89,aaa-aa-aa-aa-aa-aa-aa
90,outro
91,aaa-aa-aa-aa-aa-aa-aa
92,aa-aa-aa-aaaaaa
93,aaa-aa-aa-aa-aa-aa-aa
