,Hard to Say I'm Sorry_Chicago
0,everybody
1,needs
2,little
3,time
4,away
5,i
6,heard
7,her
8,say
9,even
10,lovers
11,need
12,holiday
13,far
14,away
15,hold
16,me
17,hard
18,me
19,say
20,i'm
21,sorry
22,i
23,want
24,you
25,stay
26,postchorus
27,we've
28,i
29,make
30,you
31,i
32,promise
33,that's
34,said
35,done
36,you're
37,part
38,me
39,i
40,can't
41,let
42,go
43,stand
44,kept
45,away
46,day
47,your
48,body
49,wanna
50,swept
51,away
52,far
53,away
54,one
55,i
56,love
57,hold
58,me
59,hard
60,me
61,say
62,i'm
63,sorry
64,i
65,want
66,you
67,know
68,hold
69,me
70,i
71,really
72,wanna
73,tell
74,you
75,i'm
76,sorry
77,i
78,could
79,never
80,let
81,you
82,go
83,postchorus
84,we've
85,i
86,make
87,you
88,i
89,promise
90,that's
91,said
92,done
93,you're
94,part
95,me
96,i
97,can't
98,let
99,go
100,postchorus
101,we've
102,i
103,make
104,you
105,i
106,promise
107,refrain
108,you're
109,gonna
110,lucky
111,one
112,get
113,gonna
114,jump
115,air
116,one'll
117,see
118,us
119,cause
120,there's
121,nobody
122,you
123,know
124,really
125,care
126,hold
127,i'm
128,gonna
129,take
130,you
