,Crush_Dave Matthews Band
0,crazy
1,feels
2,tonight
3,crazy
4,make
5,alright
6,love
7,crush
8,things
9,anything
10,sitting
11,smoking
12,feeling
13,high
14,moment
15,feels
16,right
17,lovely
18,lady
19,feet
20,god
21,want
22,badly
23,wonder
24,could
25,tomorrow
26,wondrous
27,sleeping
28,let's
29,go
30,drive
31,'till
32,morning
33,comes
34,watch
35,sunrise
36,fill
37,souls
38,drink
39,wine
40,'til
41,get
42,drunk
43,crazy
44,i'm
45,thinking
46,knowing
47,world
48,round
49,i'm
50,dancing
51,ground
52,right
53,side
54,upside
55,real
56,dreaming
57,lovely
58,lady
59,let
60,drink
61,please
62,spill
63,drop
64,promise
65,lying
66,spell
67,cast
68,moment
69,love
70,crush
71,come
72,lovely
73,lady
74,treat
75,sweetly
76,adore
77,mean
78,crush
79,times
80,like
81,faith
82,feel
83,know
84,love
85,come
86,lady
87,crazy
88,i'm
89,thinking
90,long
91,around
92,i'll
93,dancing
94,ground
95,right
96,side
97,upside
98,we'll
99,facing
100,love
101,we'll
102,beat
103,back
104,pain
105,we've
106,found
107,know
108,mean
109,tell
110,things
111,i've
112,thinking
113,deep
114,inside
115,friend
116,moment
117,love
118,crush
119,come
120,much
121,given
122,love
123,would
124,give
125,back
126,meaning
127,i'll
128,hold
129,please
130,let
131,always
