,Somebody_Depeche Mode
0,i
1,want
2,somebody
3,share
4,share
5,rest
6,my
7,life
8,share
9,my
10,innermost
11,thoughts
12,know
13,my
14,intimate
15,details
16,someone
17,who'll
18,stand
19,my
20,side
21,give
22,me
23,support
24,return
25,she'll
26,get
27,my
28,support
29,she
30,listen
31,me
32,i
33,want
34,speak
35,world
36,live
37,life
38,general
39,though
40,my
41,views
42,may
43,wrong
44,may
45,even
46,perverted
47,she'll
48,hear
49,me
50,easily
51,converted
52,my
53,way
54,thinking
55,fact
56,she'll
57,often
58,disagree
59,end
60,she
61,understand
62,me
63,i
64,want
65,somebody
66,cares
67,me
68,passionately
69,every
70,thought
71,every
72,breath
73,someone
74,who'll
75,help
76,me
77,see
78,things
79,different
80,light
81,things
82,i
83,detest
84,i
85,almost
86,like
87,i
88,want
89,tied
90,anyone's
91,strings
92,i'm
93,carefully
94,trying
95,steer
96,clear
97,things
98,i'm
99,asleep
100,i
101,want
102,somebody
103,put
104,arms
105,around
106,me
107,kiss
108,me
109,tenderly
110,though
111,things
112,like
113,make
114,me
115,sick
116,case
117,like
118,i'll
119,get
120,away
