,May This Be Love_Jimi Hendrix
0,waterfall
1,nothing
2,harm
3,me
4,my
5,worries
6,seem
7,small
8,my
9,waterfall
10,i
11,see
12,my
13,rainbow
14,calling
15,me
16,misty
17,breeze
18,my
19,waterfall
20,people
21,say
22,daydreaming's
23,huh
24,lazy
25,minded
26,fools
27,nothing
28,else
29,let
30,laugh
31,laugh
32,me
33,long
34,i
35,you
36,see
37,me
38,i
39,nothing
40,lose
41,long
42,i
43,you
44,waterfall
45,ever
46,change
47,your
48,ways
49,fall
50,me
51,million
52,days
53,oh
54,my
55,waterfall
56,guitar
57,solo
