,Pale Blue Eyes_The Velvet Underground
0,sometimes
1,feel
2,happy
3,sometimes
4,feel
5,sad
6,sometimes
7,feel
8,happy
9,mostly
10,make
11,mad
12,baby
13,make
14,mad
15,linger
16,pale
17,blue
18,eyes
19,linger
20,pale
21,blue
22,eyes
23,thought
24,mountain
25,top
26,thought
27,peak
28,thought
29,everything
30,i've
31,keep
32,i've
33,keep
34,linger
35,pale
36,blue
37,eyes
38,linger
39,pale
40,blue
41,eyes
42,could
43,make
44,world
45,pure
46,strange
47,see
48,i'd
49,put
50,mirror
51,put
52,front
53,put
54,front
55,linger
56,pale
57,blue
58,eyes
59,linger
60,pale
61,blue
62,eyes
63,skip
64,life
65,completely
66,stuff
67,cup
68,said
69,"""money"
70,like
71,us
72,time
73,lies
74,can't
75,stand
76,"up"""
77,linger
78,pale
79,blue
80,eyes
81,linger
82,pale
83,blue
84,eyes
85,good
86,yesterday
87,i'll
88,fact
89,married
90,proves
91,best
92,friend
93,truly
94,truly
95,sin
96,linger
97,pale
98,blue
99,eyes
100,linger
101,pale
102,blue
103,eyes
