,Mean_Taylor Swift
0,words
1,like
2,knives
3,swords
4,weapons
5,use
6,knocked
7,feet
8,got
9,feeling
10,like
11,i'm
12,nothing
13,voice
14,like
15,nails
16,chalkboard
17,calling
18,i'm
19,wounded
20,picking
21,weaker
22,man
23,pre-chorus
24,well
25,take
26,one
27,single
28,blow
29,know
30,know
31,someday
32,i'll
33,living
34,big
35,old
36,city
37,ever
38,gonna
39,mean
40,someday
41,i'll
42,big
43,enough
44,can't
45,hit
46,ever
47,gonna
48,mean
49,gotta
50,mean
51,switching
52,sides
53,wildfire
54,lies
55,humiliation
56,pointed
57,flaws
58,already
59,see
60,walk
61,head
62,trying
63,block
64,'cause
65,i'll
66,never
67,impress
68,wanna
69,feel
70,okay
71,pre-chorus
72,bet
73,got
74,pushed
75,around
76,somebody
77,made
78,cold
79,cycle
80,ends
81,right
82,'cause
83,can't
84,lead
85,road
86,know
87,know
88,someday
89,i'll
90,living
91,big
92,old
93,city
94,ever
95,gonna
96,mean
97,someday
98,i'll
99,big
100,enough
101,can't
102,hit
103,ever
104,gonna
105,mean
106,gotta
107,mean
108,bridge
109,see
110,years
111,bar
112,talking
113,football
114,game
115,big
116,loud
117,opinion
118,nobody's
119,listening
120,washed
121,ranting
122,old
123,bitter
124,things
125,drunk
126,grumbling
127,can't
128,sing
129,mean
130,mean
131,liar
132,pathetic
133,alone
134,life
135,mean
136,mean
137,mean
138,mean
139,breakdown
140,someday
141,i'll
142,living
143,big
144,old
145,city
146,ever
147,gonna
148,mean
149,yeah
150,someday
151,i'll
152,big
153,enough
154,can't
155,hit
156,ever
157,gonna
158,mean
159,gotta
160,mean
161,someday
162,i'll
163,living
164,big
165,old
166,city
167,gotta
168,mean
169,ever
170,gonna
171,mean
172,gotta
173,mean
174,someday
175,i'll
176,big
177,enough
178,can't
179,hit
180,gotta
181,mean
182,ever
183,gonna
184,mean
185,gotta
186,mean
