,Stickshifts And Safetybelts_Cake
0,stick
1,shifts
2,safety
3,belts
4,bucket
5,seats
6,got
7,go
8,we're
9,driving
10,car
11,makes
12,my
13,baby
14,seem
15,far
16,i
17,need
18,you
19,me
20,way
21,bucket
22,seat
23,i
24,need
25,you
26,me
27,way
28,bucket
29,seat
30,we're
31,driving
32,my
33,malibu
34,easy
35,get
36,right
37,next
38,you
39,i
40,say
41,baby
42,scoot
43,please
44,right
45,next
46,me
47,i
48,need
49,you
50,me
51,way
52,bucket
53,seat
54,i
55,need
56,you
57,me
58,way
59,bucket
60,seat
61,well
62,lot
63,good
64,cars
65,japanese
66,yeah
67,we're
68,driving
69,far
70,i
71,need
72,my
73,baby
74,i
75,need
76,my
77,baby
78,next
79,me
