,I Could Have Lied_Red Hot Chili Peppers
0,must
1,something
2,way
3,i
4,feel
5,she
6,want
7,me
8,feel
9,stare
10,she
11,bares
12,cut
13,me
14,i
15,care
16,you
17,see
18,i
19,bleed
20,i
21,could
22,never
23,change
24,i
25,feel
26,my
27,face
28,never
29,show
30,real
31,mountain
32,never
33,seemed
34,need
35,speak
36,look
37,shares
38,many
39,seek
40,sweetest
41,feeling
42,i
43,got
44,you
45,things
46,i
47,said
48,you
49,true
50,i
51,could
52,never
53,change
54,i
55,feel
56,my
57,face
58,never
59,show
60,real
61,i
62,could
63,lied
64,i'm
65,fool
66,my
67,eyes
68,could
69,never
70,never
71,never
72,keep
73,cool
74,showed
75,her
76,i
77,told
78,her
79,she
80,struck
81,me
82,i'm
83,fucked
84,guitar
85,solo
86,gone
87,yes
88,gone
89,away
90,soulful
91,song
92,would
93,stay
94,you
95,see
96,she
97,hides
98,'cause
99,she
100,scared
101,i
102,care
103,i
104,spared
105,i
106,could
107,lied
108,i'm
109,fool
110,my
111,eyes
112,could
113,never
114,never
115,never
116,keep
117,cool
118,showed
119,her
120,i
121,told
122,her
123,she
124,struck
125,me
126,i'm
127,fucked
128,i
129,could
130,lied
131,i'm
132,fool
133,my
134,eyes
135,could
136,never
137,never
138,never
139,keep
140,cool
141,i
142,showed
143,her
144,i
145,told
146,her
147,she
148,struck
149,me
150,i'm
151,fucked
152,guitar
153,solo
