,bird stealing bread_Iron & Wine
0,tell
1,me
2,baby
3,tell
4,me
5,you
6,still
7,stoop
8,watching
9,windows
10,close
11,i've
12,seen
13,you
14,lately
15,street
16,beach
17,places
18,used
19,go
20,i've
21,picture
22,you
23,favorite
24,day
25,seaside
26,there's
27,bird
28,stealing
29,bread
30,i
31,brought
32,my
33,nose
34,tell
35,me
36,baby
37,tell
38,me
39,his
40,company
41,make
42,light
43,rainy
44,day
45,i've
46,missed
47,you
48,lately
49,way
50,would
51,speak
52,say
53,his
54,hands
55,your
56,hair
57,feel
58,lot
59,like
60,thing
61,you
62,believe
63,bit
64,like
65,bird
66,stealing
67,bread
68,your
69,nose
70,tell
71,me
72,baby
73,tell
74,me
75,you
76,carry
77,words
78,around
79,like
80,key
81,change
82,i've
83,thinking
84,lately
85,night
86,stoop
87,say
88,i
89,see
90,you
91,street
92,beach
93,evening
94,you
95,fly
96,like
97,bird
98,stealing
99,bread
100,my
101,nose
