,Flapper Girl_The Lumineers
0,cut
1,your
2,hair
3,you
4,flinch
5,you
6,care
7,he
8,look
9,he
10,stop
11,stare
12,your
13,brand
14,new
15,hair
16,local
17,boy
18,local
19,news
20,power
21,lines
22,hangin
23,boots
24,firemen
25,trucks
26,cut
27,loose
28,local
29,boy’s
30,shoes
31,cadillac
32,cadillac
33,businessmen
34,dressed
35,slacks
36,i’m
37,gonna
38,buy
39,one
40,us
41,i
42,get
43,back
44,big
45,cadillac
46,you
47,wave
48,your
49,friends
50,i’ll
51,never
52,leave
53,you
54,would
55,you
56,write
57,would
58,you
59,call
60,back
61,baby
62,i
63,wrote
64,you
65,song
66,i
67,gone
68,you’re
69,still
70,my
71,lady
72,i
73,need
74,you
75,home
76,romeo
77,juliet
78,balcony
79,silhouette
80,makin
81,os
82,her
83,cigarette
84,it’s
85,juliet
86,flapper
87,girl
88,flapper
89,girl
90,prohibition
91,curls
92,hair
93,gold
94,neck
95,pearls
96,it’s
97,flapper
98,girl
99,you
100,wave
101,your
102,friends
103,i’ll
104,never
105,leave
106,you
107,would
108,you
109,write
110,would
111,you
112,call
113,back
114,baby
115,i
116,wrote
117,you
118,song
119,i
120,gone
121,you’re
122,still
123,my
124,lady
125,i
126,need
127,you
128,home
129,interlude
130,cause
131,you
132,ain’t
133,behind
134,my
135,door
136,i
137,ain’t
138,got
139,home
140,anymore
141,would
142,you
143,write
144,would
145,you
146,call
147,back
148,baby
149,i
150,wrote
151,you
152,song
153,i
154,gone
155,you’re
156,still
157,my
158,lady
159,i
160,need
161,you
162,home
163,lovers
164,come
165,lovers
166,go
167,lovers
168,leave
169,me
170,alone
171,she’ll
172,come
173,back
174,me
