,You Look So Fine_Garbage
0,you
1,look
2,fine
3,i
4,want
5,break
6,your
7,heart
8,give
9,you
10,mine
11,you're
12,taking
13,me
14,insane
15,you've
16,got
17,me
18,tethered
19,chained
20,i
21,hear
22,your
23,name
24,i'm
25,falling
26,i'm
27,like
28,girls
29,i
30,can't
31,take
32,like
33,girls
34,i
35,share
36,like
37,girls
38,you
39,used
40,know
41,you
42,look
43,fine
44,breakdown
45,knocked
46,cried
47,find
48,i'm
49,bleeding
50,you
51,i'm
52,open
53,wide
54,i
55,want
56,take
57,you
58,home
59,we'll
60,waste
61,time
62,you're
63,one
64,me
65,you
66,look
67,fine
68,i'm
69,like
70,desert
71,tonight
72,leave
73,her
74,behind
75,you
76,want
77,show
78,me
79,i'm
80,like
81,girls
82,i
83,take
84,like
85,girls
86,i
87,fake
88,like
89,girls
90,you
91,used
92,know
93,you're
94,taking
95,me
96,i'm
97,falling
98,you're
99,taking
100,me
101,i'm
102,falling
103,you're
104,taking
105,me
106,i'm
107,falling
108,drown
109,me
110,one
111,time
112,hide
113,inside
114,me
115,tonight
116,you
117,want
118,pretend
119,happy
120,end
121,let
122,me
123,know
124,let
125,show
126,ending
127,letting
128,go
129,ending
130,letting
131,go
132,ending
133,letting
134,go
135,let's
136,pretend
137,happy
138,end
139,let's
140,pretend
141,happy
142,end
143,let's
144,pretend
145,happy
146,end
147,let's
148,pretend
149,happy
150,end
151,let's
152,pretend
153,happy
154,end
