,Vincent_Don McLean
0,starry
1,starry
2,night
3,paint
4,palette
5,blue
6,grey
7,look
8,summer's
9,day
10,eyes
11,know
12,darkness
13,soul
14,shadows
15,hills
16,sketch
17,trees
18,daffodils
19,catch
20,breeze
21,winter
22,chills
23,colors
24,snowy
25,linen
26,land
27,understand
28,tried
29,say
30,suffered
31,sanity
32,tried
33,set
34,free
35,would
36,listen
37,know
38,perhaps
39,they'll
40,listen
41,starry
42,starry
43,night
44,flaming
45,flowers
46,brightly
47,blaze
48,swirling
49,clouds
50,violet
51,haze
52,reflect
53,vincent's
54,eyes
55,china
56,blue
57,colors
58,changing
59,hue
60,morning
61,fields
62,amber
63,grain
64,weathered
65,faces
66,lined
67,pain
68,soothed
69,beneath
70,artist's
71,loving
72,hand
73,understand
74,tried
75,say
76,suffered
77,sanity
78,tried
79,set
80,free
81,would
82,listen
83,know
84,perhaps
85,they'll
86,listen
87,could
88,love
89,still
90,love
91,true
92,hope
93,left
94,sight
95,starry
96,starry
97,night
98,took
99,life
100,lovers
101,often
102,could
103,told
104,vincent
105,world
106,never
107,meant
108,one
109,beautiful
110,starry
111,starry
112,night
113,portraits
114,hung
115,empty
116,halls
117,frameless
118,heads
119,nameless
120,walls
121,eyes
122,watch
123,world
124,can't
125,forget
126,like
127,strangers
128,met
129,ragged
130,men
131,ragged
132,clothes
133,silver
134,thorn
135,bloody
136,rose
137,lie
138,crushed
139,broken
140,virgin
141,snow
142,think
143,know
144,tried
145,say
146,suffered
147,sanity
148,tried
149,set
150,free
151,would
152,listen
153,they're
154,listening
155,still
156,perhaps
157,never
