,Loud Places (feat. Romy)_Jamie xx
0,romy
1,go
2,loud
3,places
4,search
5,someone
6,quiet
7,take
8,home
9,go
10,loud
11,places
12,find
13,someone
14,take
15,higher
16,took
17,romy
18,take
19,higher
20,places
21,can't
22,reach
23,without
24,never
25,reached
26,heights
27,reach
28,without
29,feel
30,music
31,eyes
32,never
33,reached
34,heights
35,romy
36,go
37,places
38,used
39,go
40,seem
41,quiet
42,i'm
43,alone
44,go
45,new
46,places
47,know
48,know
49,follow
50,bridge
51,romy
52,higher
53,take
54,higher
55,i’ll
56,take
57,didn’t
58,take
59,higher
60,take
61,higher
62,take
63,higher
64,take
65,didn’t
66,take
67,higher
68,take
69,romy
70,take
71,higher
72,places
73,can't
74,reach
75,without
76,never
77,reached
78,heights
79,reach
80,without
81,feel
82,music
83,eyes
84,never
85,reached
86,heights
87,feel
88,music
89,eyes
90,never
91,reached
92,heights
93,feel
94,music
95,eyes
96,never
97,reached
98,heights
99,outro
100,romy
101,ecstasy
102,without
103,come
104,around
