,Thinkin Bout You_Frank Ocean
0,tornado
1,flew
2,around
3,my
4,room
5,you
6,came
7,excuse
8,mess
9,made
10,usually
11,rain
12,southern
13,california
14,much
15,like
16,arizona
17,my
18,eyes
19,shed
20,tears
21,boy
22,pour
23,prechorus
24,i'm
25,thinkin'
26,'bout
27,you
28,ooh
29,i've
30,thinkin'
31,bout
32,you
33,you
34,know
35,know
36,know
37,i've
38,thinkin'
39,bout
40,you
41,you
42,think
43,me
44,still
45,ya
46,ya
47,you
48,think
49,far
50,ahead
51,'cause
52,i
53,thinkin'
54,bout
55,forever
56,ooh
57,you
58,think
59,far
60,ahead
61,'cause
62,i
63,thinkin'
64,bout
65,forever
66,ooh
67,i
68,like
69,you
70,i
71,thought
72,you
73,cool
74,enough
75,kick
76,got
77,beach
78,house
79,i
80,could
81,sell
82,you
83,idaho
84,since
85,you
86,think
87,i
88,love
89,you
90,i
91,thought
92,you
93,cute
94,that's
95,i
96,kissed
97,you
98,got
99,fighter
100,jet
101,i
102,get
103,fly
104,though
105,i'm
106,lying
107,prechorus
108,thinkin'
109,'bout
110,you
111,ooh
112,i've
113,thinkin'
114,bout
115,you
116,you
117,know
118,know
119,know
120,i've
121,thinkin'
122,bout
123,you
124,you
125,think
126,me
127,still
128,ya
129,ya
130,you
131,think
132,far
133,ahead
134,'cause
135,i
136,thinkin'
137,bout
138,forever
139,ooh
140,you
141,think
142,far
143,ahead
144,'cause
145,i
146,thinkin'
147,bout
148,forever
149,ooh
150,yes
151,course
152,i
153,remember
154,could
155,i
156,forget
157,could
158,i
159,forget
160,you
161,feel
162,you
163,feel
164,you
165,know
166,you
167,my
168,first
169,time
170,new
171,feel
172,ever
173,get
174,old
175,my
176,soul
177,my
178,spirit
179,keep
180,alive
181,we'll
182,go
183,road
184,'til
185,turns
186,color
187,black
188,white
189,you
190,think
191,far
192,ahead
193,'cause
194,i
195,thinkin'
196,bout
197,forever
198,ooh
199,you
200,think
201,far
202,ahead
203,'cause
204,i
205,thinkin'
206,bout
207,forever
208,ooh
