,Trophy_Bat for Lashes
0,trophy
1,made
2,us
3,fur
4,gold
5,got
6,wrong
7,pair
8,hands
9,truth
10,sold
11,bought
12,oh
13,much
14,less
15,worth
16,every
17,man
18,touched
19,found
20,heaven
21,earth
22,heaven
23,feeling
24,get
25,arms
26,heaven
27,feeling
28,get
29,arms
30,heaven
31,feeling
32,get
33,arms
34,heaven
35,feeling
36,get
37,arms
38,queens
39,court
40,jesters
41,clapped
42,adored
43,hearts
44,swelled
45,overdrive
46,mercy
47,soared
48,mercy
49,mercy
50,let
51,justice
52,prevail
53,want
54,trophy
55,back
56,sale
57,heaven
58,feeling
59,get
60,arms
61,heaven
62,feeling
63,get
64,arms
65,heaven
66,feeling
67,get
68,arms
69,heaven
70,feeling
71,get
72,arms
73,creatures
74,mercy
75,shoot
76,shoot
77,shoot
78,set
79,free
80,creatures
81,mercy
82,shoot
83,shoot
84,shoot
85,set
86,free
87,got
88,trophy
89,back
90,took
91,time
92,polish
93,gold
94,black
95,shoot
96,lion
97,put
98,back
99,inside
100,locked
101,door
102,trophy
103,mercy
104,trophy
105,heaven
106,feeling
107,get
108,arms
109,heaven
110,feeling
111,get
112,arms
113,heaven
114,feeling
115,get
116,arms
117,heaven
118,feeling
119,get
120,arms
121,creatures
122,mercy
123,shoot
124,shoot
125,shoot
126,set
127,free
128,creatures
129,mercy
130,shoot
131,shoot
132,shoot
133,set
134,free
