,Apartment_Young the Giant
0,leaving
1,my
2,apartment
3,i
4,feel
5,cold
6,inside
7,me
8,howls
9,away
10,market
11,calls
12,your
13,name
14,hoh
15,ohoh
16,hoh
17,ohoh
18,my
19,way
20,your
21,apartment
22,i
23,write
24,fear
25,silence
26,you
27,carved
28,boat
29,sail
30,my
31,shadow
32,i
33,walk
34,alone
35,hoh
36,ohoh
37,oh
38,alright
39,alright
40,i
41,hit
42,sidewalk
43,starts
44,hide
45,raincoat
46,things
47,falling
48,apart
49,leaving
50,your
51,apartment
52,i
53,hit
54,coast
55,nightfall
56,sure
57,keep
58,you
59,dreaming
60,you
61,understood
62,oh
63,i
64,know
65,you
66,understood
67,yes
68,sir
69,shows
70,i
71,good
72,ah
73,ah
74,ah
75,alright
76,alright
77,i
78,hit
79,sidewalk
80,starts
81,hide
82,raincoat
83,things
84,falling
85,apart
86,'cause
87,sooner
88,later
89,bound
90,stop
91,come
92,let's
93,savor
94,we're
95,falling
96,instrumental
97,leaving
98,your
99,apartment
100,i
101,hear
102,coa
