,Meet Me Halfway_Black Eyed Peas
0,fergie
1,ooh
2,i
3,can't
4,go
5,ooh
6,i
7,want
8,you
9,badly
10,my
11,biggest
12,wish
13,apldeap
14,cool
15,i
16,spend
17,my
18,time
19,thinking
20,thinking
21,thinking
22,'bout
23,you
24,every
25,single
26,day
27,yes
28,i'm
29,really
30,missing
31,missing
32,you
33,things
34,used
35,used
36,used
37,used
38,hey
39,girl
40,what's
41,used
42,used
43,me
44,you
45,i
46,spend
47,my
48,time
49,thinking
50,thinking
51,thinking
52,'bout
53,you
54,every
55,single
56,day
57,yes
58,i'm
59,really
60,missing
61,missing
62,you
63,things
64,used
65,used
66,used
67,used
68,hey
69,girl
70,what's
71,yo
72,what's
73,what's
74,fergie
75,you
76,meet
77,me
78,halfway
79,right
80,borderline
81,that's
82,i'm
83,gonna
84,wait
85,you
86,i'll
87,looking
88,night
89,day
90,took
91,my
92,heart
93,limit
94,i'll
95,stay
96,i
97,can't
98,go
99,i
100,want
101,you
102,bad
103,my
104,wish
105,william
106,girl
107,i
108,travel
109,'round
110,world
111,even
112,sail
113,seven
114,seas
115,across
116,universe
117,galaxies
118,tell
119,me
120,go
121,tell
122,me
123,you
124,wanna
125,meet
126,i
127,navigate
128,myself
129,myself
130,take
131,me
132,you
133,cause
134,girl
135,i
136,want
137,i
138,i
139,i
140,want
141,you
142,right
143,i
144,travel
145,uptown
146,town
147,i
148,travel
149,downtown
150,wanna
151,you
152,around
153,'round
154,like
155,every
156,single
157,day
158,i
159,love
160,you
161,always
162,ways
163,i'll
164,meet
165,you
166,halfway
167,fergie
168,you
169,meet
170,me
171,halfway
172,right
173,borderline
174,that's
175,i'm
176,gonna
177,wait
178,you
179,i'll
180,looking
181,night
182,day
183,took
184,my
185,heart
186,limit
187,i'll
188,stay
189,i
190,can't
191,go
192,i
193,want
194,you
195,bad
196,my
197,wish
198,i
199,can't
200,go
201,i
202,want
203,you
204,bad
205,my
206,wish
207,taboo
208,let's
209,cross
210,side
211,you
212,i
213,you
214,i
215,i
216,fly
217,fly
218,skies
219,you
220,i
221,you
222,i
223,i
224,try
225,i
226,die
227,you
228,i
229,you
230,i
231,you
232,i
233,you
234,i
235,you
236,i
237,you
238,i
239,breakdown
240,fergie
241,you
242,meet
243,me
244,halfway
245,you
246,meet
247,me
248,halfway
249,you
250,meet
251,me
252,halfway
253,you
254,meet
255,me
256,halfway
257,fergie
258,meet
259,me
260,halfway
261,right
262,borderline
263,that's
264,i'm
265,gonna
266,wait
267,you
268,i'll
269,looking
270,night
271,day
272,took
273,my
274,heart
275,limit
276,i'll
277,stay
278,i
279,can't
280,go
281,i
282,want
283,you
284,bad
285,my
286,wish
287,i
288,can't
289,go
290,i
291,want
292,you
293,bad
294,my
295,wish
