,Motorcycle Drive By_Third Eye Blind
0,stephan
1,jenkins
2,summer
3,time
4,wind
5,blowing
6,outside
7,lower
8,chelsea
9,know
10,i'm
11,city
12,sun
13,always
14,eyes
15,crashes
16,windows
17,i'm
18,sleeping
19,couch
20,came
21,visit
22,that's
23,knew
24,could
25,never
26,knew
27,still
28,i'm
29,one
30,who's
31,stupid
32,stephan
33,jenkins
34,there's
35,burning
36,like
37,there's
38,always
39,never
40,alone
41,i've
42,never
43,alive
44,stephan
45,jenkins
46,visions
47,motorcycle
48,drive
49,cigarette
50,ash
51,flies
52,eyes
53,mind
54,smile
55,say
56,world
57,fit
58,believe
59,serene
60,careening
61,universe
62,axis
63,tilt
64,guiltless
65,free
66,hope
67,take
68,piece
69,there's
70,things
71,i'd
72,like
73,believe
74,would
75,like
76,build
77,something
78,never
79,see
80,happen
81,stephan
82,jenkins
83,there's
84,burning
85,like
86,there's
87,always
88,never
89,alone
90,i've
91,never
92,alive
93,guitr
94,solo
95,kevin
96,cadogan
97,bridge
98,stephan
99,jenkins
100,there's
101,burning
102,burning
103,stephan
104,jenkins
105,where's
106,soul
107,want
108,know
109,new
110,york
111,city
112,evil
113,surface
114,everything
115,could
116,never
117,someone
118,would
119,see
120,last
121,time
122,we'll
123,friends
124,i'll
125,get
126,wonder
127,stephan
128,jenkins
129,there's
130,burning
131,like
132,there's
133,always
134,never
135,alone
136,i've
137,never
138,alive
139,stephan
140,jenkins
141,go
142,home
143,coast
144,starts
145,rain
146,paddle
147,water
148,alone
149,taste
150,salt
151,taste
152,pain
153,i'm
154,thinking
155,summer
156,dies
157,swells
158,rise
159,sun
160,goes
161,eyes
162,see
163,rolling
164,wave
165,darkly
166,coming
167,take
168,home
169,outro
170,stephan
171,jenkins
172,i've
173,never
174,alone
175,i've
176,never
177,alive
