,Hold Up_Beyoncé
0,hold
1,love
2,like
3,love
4,slow
5,love
6,like
7,love
8,back
9,love
10,like
11,love
12,step
13,love
14,like
15,love
16,can't
17,see
18,there's
19,man
20,wicked
21,way
22,treat
23,girl
24,loves
25,hold
26,love
27,like
28,love
29,oh
30,love
31,like
32,love
33,something
34,feel
35,right
36,ain't
37,right
38,especially
39,comin'
40,midnight
41,smell
42,secrets
43,i'm
44,perfect
45,ever
46,feel
47,worthless
48,come
49,scrolling
50,call
51,list
52,wanna
53,lose
54,pride
55,i'ma
56,fuck
57,bitch
58,know
59,kept
60,sexy
61,know
62,kept
63,fun
64,there's
65,something
66,i'm
67,missing
68,maybe
69,head
70,one
71,refrain
72,what's
73,worst
74,lookin'
75,jealous
76,crazy
77,jealous
78,crazy
79,like
80,walked
81,lately
82,walked
83,lately
84,i'd
85,rather
86,crazy
87,hold
88,love
89,like
90,love
91,slow
92,love
93,like
94,love
95,back
96,love
97,like
98,love
99,step
100,love
101,like
102,love
103,can't
104,see
105,there's
106,man
107,wicked
108,way
109,treat
110,girl
111,loves
112,hold
113,love
114,like
115,love
116,slow
117,love
118,like
119,love
120,let's
121,imagine
122,moment
123,never
124,made
125,name
126,mastered
127,wealth
128,labeled
129,king
130,never
131,made
132,cage
133,still
134,movin'
135,streets
136,never
137,baddest
138,woman
139,game
140,sheets
141,would
142,ride
143,used
144,hide
145,lie
146,y'all
147,know
148,made
149,find
150,hold
151,sing
152,se
153,hold
154,love
155,like
156,love
157,slow
158,love
159,like
160,love
161,back
162,love
163,like
164,love
165,step
166,love
167,like
168,love
169,can't
170,see
171,there's
172,man
173,wicked
174,way
175,treat
176,girl
177,loves
178,hold
179,love
180,like
181,love
182,slow
183,love
184,like
185,love
186,bridge
187,hey
188,shame
189,let
190,good
191,love
192,go
193,waste
194,always
195,keep
196,top
197,tier
198,star
199,backseat
200,lovin'
201,car
202,like
203,make
204,wood
205,like
206,make
207,wood
208,holly
209,like
210,boulevard
211,refrain
212,what's
213,worse
214,lookin'
215,jealous
216,crazy
217,jealous
218,crazy
219,like
220,walked
221,lately
222,walked
223,lately
224,i'd
225,rather
226,crazy
227,hold
228,love
229,like
230,love
231,slow
232,love
233,like
234,love
235,back
236,love
237,like
238,love
239,step
240,love
241,like
242,love
243,can't
244,see
245,there's
246,man
247,wicked
248,way
249,treat
250,girl
251,loves
252,hold
253,love
254,like
255,love
256,oh
257,love
258,like
259,love
260,outro
261,hop
262,bed
263,get
264,swag
265,look
266,mirror
267,say
268,"""what's"
269,"up"""
270,what's
271,what's
272,what's
273,hop
274,bed
275,get
276,swag
277,look
278,mirror
279,say
280,"""what's"
281,"up"""
282,what's
283,what's
284,what's
