,Better in Time_Leona Lewis
0,longest
1,winter
2,without
3,know
4,turn
5,see
6,somehow
7,can't
8,forget
9,we've
10,pre-chorus
11,going
12,coming
13,thought
14,heard
15,knock
16,who's
17,one
18,thinking
19,deserve
20,realize
21,really
22,know
23,notice
24,mean
25,everything
26,quickly
27,i'm
28,learning
29,love
30,know
31,i'mma
32,okay
33,thought
34,live
35,without
36,gonna
37,hurt
38,heals
39,oh
40,yeah
41,it'll
42,get
43,better
44,time
45,even
46,though
47,really
48,love
49,i'm
50,gonna
51,smile
52,'cause
53,deserve
54,it'll
55,get
56,better
57,time
58,turn
59,tv
60,without
61,something
62,remind
63,easy
64,put
65,aside
66,feelings
67,pre-chorus
68,leona
69,lewis
70,i'm
71,dreaming
72,wanna
73,laugh
74,hurt
75,feelings
76,that's
77,path
78,believe
79,know
80,time
81,heal
82,notice
83,boy
84,meant
85,everything
86,quickly
87,i'm
88,learning
89,love
90,know
91,i'mma
92,okay
93,leona
94,lewis
95,thought
96,live
97,without
98,gonna
99,hurt
100,heals
101,oh
102,yeah
103,it'll
104,get
105,better
106,time
107,even
108,though
109,really
110,love
111,i'm
112,gonna
113,smile
114,'cause
115,deserve
116,it'll
117,get
118,better
119,time
120,bridge
121,leona
122,lewis
123,since
124,there's
125,time
126,let
127,go
128,free
129,live
130,life
131,know
132,know
133,matter
134,hard
135,i'll
136,fine
137,without
138,yes
139,leona
140,lewis
141,thought
142,live
143,without
144,gonna
145,hurt
146,heals
147,it'll
148,get
149,better
150,time
151,even
152,though
153,really
154,loved
155,i'm
156,gonna
157,smile
158,'cause
159,deserve
160,yes
161,it'll
162,get
163,better
164,time
165,thought
166,live
167,without
168,gonna
169,hurt
170,heals
171,yeah
172,it'll
173,get
174,better
175,time
176,even
177,though
178,really
179,loved
180,gonna
181,smile
182,'cause
183,deserve
