,Delicate_Damien Rice
0,might
1,kiss
2,alone
3,nobody's
4,watching
5,might
6,take
7,home
8,might
9,make
10,nobody's
11,we're
12,scared
13,delicate
14,why'd
15,you
16,fill
17,my
18,sorrows
19,words
20,you've
21,borrowed
22,place
23,you've
24,known
25,why'd
26,you
27,sing
28,hallelujah
29,means
30,nothing
31,ya
32,why'd
33,you
34,sing
35,me
36,might
37,live
38,like
39,never
40,there's
41,nothing
42,give
43,well
44,ask
45,might
46,make
47,love
48,sacred
49,place
50,look
51,your
52,face
53,delicate
54,why'd
55,you
56,fill
57,my
58,sorrows
59,words
60,you've
61,borrowed
62,place
63,you've
64,known
65,why'd
66,you
67,sing
68,hallelujah
69,means
70,nothing
71,ya
72,why'd
73,you
74,sing
75,me
76,why'd
77,you
78,fill
79,my
80,sorrows
81,words
82,you've
83,borrowed
84,place
85,you've
86,known
87,why'd
88,you
89,sing
90,hallelujah
91,means
92,nothing
93,ya
94,why'd
95,you
96,sing
97,me
