,Prototype_OutKast
0,yeah
1,i
2,try
3,keep
4,away
5,socials
6,i
7,know
8,social
9,lies
10,move
11,anti
12,focus
13,i
14,vocalise
15,countdown
16,seek
17,beats
18,weak
19,know
20,hide
21,i
22,can't
23,choose
24,days
25,show
26,my
27,pride
28,it’s
29,fist
30,air
31,i
32,hold
33,mic
34,rather
35,outkast
36,prototype
37,can't
38,conform
39,filters
40,pose
41,hype
42,teeth
43,top
44,charts
45,thats
46,overbite
47,like
48,…too
49,many
50,celebrities
51,overnight
52,insta
53,careers
54,moments
55,sight
56,gassed
57,number
58,your
59,followers
60,move
61,like
62,poltergeist
63,pointless
64,pursuing
65,images
66,your
67,soul
68,ain't
69,right
70,i
71,can't
72,mix
73,energies
74,leviate
75,clear
76,enemies
77,stare
78,next
79,year
80,i’ll
81,better
82,me
83,swear
84,i'm
85,truth
86,i
87,could
88,never
89,dare
90,cause
91,i
92,level
93,vessel
94,me
95,boil
96,like
97,kettles
98,instrumentals
99,little
100,me
101,never
102,picked
103,pettles
104,patterned
105,rules
106,rebel
107,revel
108,bomb
109,jäger
110,red
111,bull
112,technique
113,immortal
114,still
115,i
116,never
117,dance
118,devil
119,settle
120,your
121,decimals
122,dependable
123,man
124,writing
125,you
126,don’t
127,need
128,pen
129,defeated
130,book
131,pedicure
132,…i
133,see
134,issues
135,address
136,like
137,pinafore
138,windoe's
139,opportunities
140,like
141,there’s
142,never
143,bin
144,door
145,easy
146,x3
147,flow
148,flow
149,flows
150,fro'z
151,chill
152,realness
153,kept
154,fro'z
155,i
156,tried
157,share
158,mic
159,fro'z
160,big
161,gyal
162,dem
163,flex
164,fro'z
165,x4
166,yeah
167,followed
168,pen
169,skills
170,i
171,lead
172,pencils
173,permanent
174,drive
175,stuck
176,rentals
177,you
178,know
179,black
180,queen
181,essential
182,don’t
183,chat
184,weakest
185,link
186,you’re
187,linked
188,checked
189,your
190,linkedin
191,where’s
192,credentials
193,cv
194,like
195,you're
196,cov
197,residential
198,even
199,i
200,didn’t
201,live
202,b23
203,corrupt
204,still
205,don’t
206,want
207,you
208,free
209,see
210,downfall
211,locked
212,your
213,mental
214,i
215,can’t
216,support
217,violence
218,fed
219,you
220,can’t
221,support
222,standards
223,tempt
224,you
225,never
226,attempted
227,fit
228,spin
229,riddims
230,vent
231,cut
232,ties
233,questioning
234,make
235,moves
236,wise
237,enter
238,den
239,enter
240,dragons
241,flagging
242,fire
243,prepared
244,offended
245,heart
246,full
247,anger
248,mindful
249,zen
250,prechorus
251,you
252,can’t
253,take
254,heat
255,get
256,kitchen
257,you
258,can’t
259,take
260,cold
261,adapt
262,your
263,system
264,x4
265,flow
266,flow
267,flows
268,fro'z
269,chill
270,realness
271,kept
272,fro'z
273,i
274,tried
275,share
276,mic
277,fro'z
278,big
279,gyal
280,dem
281,flex
282,fro'z
283,x5
