,Michelle_The Beatles
0,paul
1,mccartney
2,michelle
3,belle
4,words
5,go
6,together
7,well
8,michelle
9,paul
10,mccartney
11,michelle
12,belle
13,sont
14,des
15,mots
16,qui
17,vont
18,très
19,bien
20,ensemble
21,très
22,bien
23,ensemble
24,paul
25,mccartney
26,love
27,love
28,love
29,that's
30,want
31,say
32,find
33,way
34,say
35,words
36,know
37,understand
38,paul
39,mccartney
40,michelle
41,belle
42,sont
43,des
44,mots
45,qui
46,vont
47,très
48,bien
49,ensemble
50,très
51,bien
52,ensemble
53,paul
54,mccartney
55,need
56,need
57,need
58,need
59,make
60,see
61,oh
62,mean
63,i'm
64,hoping
65,know
66,mean
67,bridge
68,love
69,want
70,want
71,want
72,think
73,know
74,i'll
75,get
76,somehow
77,i'm
78,telling
79,understand
80,paul
81,mccartney
82,michelle
83,belle
84,sont
85,des
86,mots
87,qui
88,vont
89,très
90,bien
91,ensemble
92,très
93,bien
94,ensemble
95,outro
96,say
97,words
98,know
99,understand
100,michelle
