,Father Figure_George Michael
0,that's
1,i
2,wanted
3,something
4,special
5,someone
6,sacred
7,your
8,eyes
9,one
10,moment
11,bold
12,naked
13,your
14,side
15,sometimes
16,i
17,think
18,you'll
19,never
20,understand
21,me
22,maybe
23,time
24,forever
25,say
26,whoa
27,that's
28,you
29,wanted
30,somethin'
31,special
32,someone
33,sacred
34,your
35,life
36,one
37,moment
38,warm
39,naked
40,my
41,side
42,sometimes
43,i
44,think
45,you'll
46,never
47,understand
48,me
49,somethin'
50,tells
51,me
52,together
53,we'd
54,happy
55,whoa
56,baby
57,i
58,your
59,father
60,figure
61,put
62,your
63,tiny
64,hand
65,mine
66,i
67,your
68,preacher
69,teacher
70,anything
71,you
72,mind
73,i
74,your
75,father
76,figure
77,i
78,enough
79,crime
80,i
81,one
82,loves
83,you
84,'til
85,end
86,time
87,that's
88,i
89,wanted
90,sometimes
91,love
92,mistaken
93,crime
94,that's
95,i
96,wanted
97,see
98,my
99,baby's
100,blue
101,eyes
102,shine
103,time
104,i
105,think
106,my
107,lover
108,understands
109,me
110,faith
111,strong
112,you
113,desert
114,i'll
115,sea
116,you
117,ever
118,hunger
119,hunger
120,me
121,whatever
122,you
123,ask
124,that's
125,i'll
126,you
127,remember
128,ones
129,lied
130,said
131,cared
132,laughed
133,you
134,cried
135,beautiful
136,darling
137,think
138,me
139,i
140,ever
141,wanted
142,your
143,eyes
144,baby
145,baby
146,love
147,can't
148,lie
149,greet
150,me
151,eyes
152,child
153,my
154,love
155,always
156,tellin'
157,me
158,heaven
159,kiss
160,smile
161,hold
162,hold
163,i
164,let
165,you
166,go
167,my
168,baby
169,i
170,your
171,father
172,i
173,your
174,i
175,your
176,father
177,preacher
178,teacher
179,i
180,your
181,i'll
182,your
183,daddy
184,oh
185,i
186,one
187,loves
188,you
189,'til
190,end
191,time
