,Hours_FKA twigs
0,could
1,kiss
2,hours
3,who'd
4,thought
5,i'd
6,mouth
7,loud
8,clear
9,pre-chorus
10,harder
11,feel
12,harder
13,suited
14,fit
15,needs
16,master
17,needs
18,could
19,kiss
20,hours
21,miss
22,thing
23,read
24,lips
25,could
26,kiss
27,hours
28,feeling
29,bring
30,deep
31,could
32,kiss
33,hours
34,would
35,like
36,lips
37,touched
38,stayed
39,close
40,baby
41,'til
42,stars
43,fade
44,would
45,like
46,sucked
47,bite
48,hard
49,felt
50,alright
51,would
52,like
53,held
54,arms
55,round
56,edges
57,substitute
58,calm
59,pre-chorus
60,harder
61,feel
62,harder
63,suited
64,fit
65,needs
66,master
67,needs
68,could
69,kiss
70,hours
71,miss
72,thing
73,read
74,lips
75,could
76,kiss
77,hours
78,feeling
79,bring
80,deep
81,could
82,kiss
83,hours
84,bridge
85,driving
86,heaven
87,ground
88,sweetest
89,thing
90,girl
91,like
92,found
93,could
94,kiss
95,hours
96,flying
97,higher
98,world
99,long
100,lost
101,boy
102,aside
103,man
104,that's
105,grown
106,could
107,kiss
108,hours
109,miss
110,thing
111,read
112,lips
113,could
114,kiss
115,hours
116,feeling
117,bring
118,deep
119,could
120,kiss
121,hours
122,outro
123,could
124,kiss
125,hours
126,could
127,kiss
128,hours
129,could
130,kiss
131,hours
132,could
133,kiss
134,hours
