,With or Without You_U2
0,see
1,stone
2,set
3,your
4,eyes
5,see
6,thorn
7,twist
8,your
9,side
10,i'll
11,wait
12,you
13,sleight
14,hand
15,twist
16,fate
17,bed
18,nails
19,she
20,makes
21,me
22,wait
23,i
24,wait
25,without
26,you
27,without
28,you
29,without
30,you
31,storm
32,reach
33,shore
34,you
35,give
36,i
37,want
38,i'm
39,waiting
40,you
41,without
42,you
43,without
44,you
45,ahah
46,i
47,can't
48,live
49,without
50,you
51,you
52,give
53,yourself
54,away
55,you
56,give
57,yourself
58,away
59,you
60,give
61,you
62,give
63,you
64,give
65,yourself
66,away
67,my
68,hands
69,tied
70,my
71,body
72,bruised
73,she
74,got
75,me
76,nothing
77,win
78,nothing
79,left
80,lose
81,you
82,give
83,yourself
84,away
85,you
86,give
87,yourself
88,away
89,you
90,give
91,you
92,give
93,you
94,give
95,yourself
96,away
97,without
98,you
99,without
100,you
101,ohh
102,i
103,can't
104,live
105,without
106,you
107,outrochorus
108,without
109,you
110,without
111,you
112,ohh
113,i
114,can't
115,live
116,without
117,you
118,without
119,you
