,I Hope That I Don't Fall in Love With You_Tom Waits
0,well
1,i
2,hope
3,i
4,fall
5,love
6,you
7,'cause
8,falling
9,love
10,makes
11,me
12,blue
13,well
14,music
15,plays
16,you
17,display
18,your
19,heart
20,me
21,see
22,i
23,beer
24,i
25,hear
26,you
27,callin'
28,me
29,i
30,hope
31,i
32,fall
33,love
34,you
35,well
36,room
37,crowded—people
38,everywhere
39,i
40,wonder
41,i
42,offer
43,you
44,chair
45,well
46,you
47,sit
48,old
49,clown
50,i'll
51,take
52,frown
53,break
54,evening's
55,gone
56,away
57,i
58,think
59,make
60,i
61,hope
62,i
63,fall
64,love
65,you
66,well
67,night
68,funny
69,things
70,inside
71,man
72,old
73,tomcat
74,feelings
75,you
76,understand
77,well
78,i
79,turn
80,around
81,look
82,you
83,you
84,light
85,cigarette
86,i
87,wish
88,i
89,guts
90,bum
91,one
92,we've
93,never
94,met
95,i
96,hope
97,i
98,fall
99,love
100,you
101,i
102,see
103,you
104,lonesome
105,like
106,me
107,late
108,you'd
109,like
110,company
111,well
112,i
113,turn
114,around
115,look
116,you
117,you
118,look
119,back
120,me
121,guy
122,you're
123,he's
124,split—the
125,chair
126,next
127,you
128,free
129,i
130,hope
131,you
132,fall
133,love
134,me
135,closing
136,time
137,music's
138,fading
139,last
140,call
141,drinks
142,i'll
143,another
144,stout
145,well
146,i
147,turn
148,around
149,look
150,you—you're
151,nowhere
152,found
153,i
154,search
155,place
156,your
157,lost
158,face—guess
159,i'll
160,another
161,round
162,i
163,think
164,i
165,fell
166,love
167,you
