,Stephen_Ke$ha
0,stephen
1,stephen
2,you
3,call
4,me
5,stephen
6,you
7,call
8,me
9,i
10,saw
11,you
12,your
13,tightass
14,rocker
15,pants
16,you
17,saw
18,me
19,i
20,laughed
21,'cause
22,i
23,completely
24,trashed
25,i
26,watched
27,your
28,ugly
29,girlfriend
30,sneer
31,across
32,room
33,i
34,really
35,care
36,you
37,i
38,know
39,you're
40,my
41,object
42,affection
43,my
44,drug
45,choice
46,my
47,sick
48,obsession
49,oh
50,stephen
51,you
52,call
53,me
54,i'm
55,sitting
56,waiting
57,you
58,call
59,me
60,stephen
61,i'm
62,feeling
63,pathetic
64,i
65,can't
66,take
67,rejection
68,you
69,call
70,me
71,i've
72,got
73,guys
74,waiting
75,line
76,me
77,play
78,my
79,evil
80,girly
81,games
82,minds
83,watch
84,me
85,i've
86,got
87,simple
88,art
89,bat
90,my
91,eyes
92,like
93,there's
94,broken
95,heart
96,somehow
97,you
98,turned
99,tables
100,hell
101,i
102,charm
103,pants
104,anyone
105,else
106,you
107,stephen
108,you
109,call
110,me
111,i'm
112,sitting
113,waiting
114,you
115,call
116,me
117,stephen
118,i'm
119,feeling
120,pathetic
121,i
122,can't
123,take
124,rejection
125,you
126,call
127,me
128,stephen
129,i'm
130,thinking
131,maybe
132,you
133,might
134,think
135,i'm
136,crazy
137,you
138,call
139,me
140,steve
141,you
142,think
143,i'm
144,pretty
145,you
146,love
147,me
148,you
149,call
150,me
151,breakdown
152,'cause
153,you're
154,my
155,object
156,affection
157,my
158,drug
159,choice
160,my
161,sick
162,obsession
163,i
164,want
165,keep
166,you
167,my
168,pet
169,play
170,hide
171,my
172,bed
173,forever
174,stephen
175,you
176,call
177,me
178,i'm
179,sitting
180,waiting
181,you
182,call
183,me
184,stephen
185,i'm
186,feeling
187,pathetic
188,i
189,can't
190,take
191,rejection
192,you
193,call
194,me
195,spoken
196,stephen
197,i'll
198,knit
199,you
200,sweater
201,i
202,want
203,wrap
204,you
205,my
206,love
207,forever
208,i'll
209,never
210,let
211,you
212,go
213,stephen
214,i'll
215,never
216,let
217,go
218,stephen
219,you
220,call
221,me
222,i'm
223,sitting
224,waiting
225,you
226,call
227,me
228,stephen
229,i'm
230,feeling
231,pathetic
232,i
233,can't
234,take
235,rejection
236,you
237,call
238,me
