,Playground Love_Air
0,thomas
1,mars
2,i'm
3,high
4,school
5,lover
6,you're
7,my
8,favorite
9,flavour
10,love
11,my
12,soul
13,you're
14,my
15,playground
16,love
17,thomas
18,mars
19,yet
20,my
21,hands
22,shaking
23,i
24,feel
25,my
26,body
27,remains
28,time's
29,matter
30,i'm
31,fire
32,playground
33,love
34,thomas
35,mars
36,you're
37,piece
38,gold
39,flashes
40,my
41,soul
42,extra
43,time
44,ground
45,you're
46,my
47,playground
48,love
49,thomas
50,mars
51,anytime
52,anywhere
53,you're
54,my
55,playground
56,love
