,I Know Places_Taylor Swift
0,recorder
1,click
2,i-i
3,i-i
4,i-i
5,stand
6,hand
7,waistline
8,scene
9,we're
10,plain
11,sight
12,hear
13,whisper
14,pass
15,bad
16,sign
17,bad
18,sign
19,something
20,happens
21,everybody
22,finds
23,see
24,vultures
25,circling
26,dark
27,clouds
28,love's
29,fragile
30,little
31,flame
32,could
33,burn
34,could
35,burn
36,pre-chorus
37,'cause
38,got
39,cages
40,got
41,boxes
42,guns
43,hunters
44,foxes
45,run
46,baby
47,know
48,places
49,found
50,they'll
51,chasing
52,tails
53,trying
54,track
55,us
56,'cause
57,know
58,places
59,hide
60,know
61,places
62,know
63,places
64,lights
65,flash
66,we'll
67,run
68,fences
69,let
70,say
71,want
72,hear
73,loose
74,lips
75,sink
76,ships
77,damn
78,time
79,time
80,pre-chorus
81,grab
82,hand
83,ever
84,drop
85,love
86,hunters
87,foxes
88,run
89,baby
90,know
91,places
92,found
93,they'll
94,chasing
95,tails
96,trying
97,track
98,us
99,'cause
100,know
101,places
102,hide
103,know
104,places
105,bridge
106,hunters
107,foxes
108,run
109,grab
110,hand
111,ever
112,drop
113,love
114,baby
115,know
116,places
117,found
118,they'll
119,chasing
120,tails
121,trying
122,track
123,us
124,'cause
125,know
126,places
127,hide
128,know
129,places
130,outro
131,take
132,shots
133,we're
134,bulletproof
135,know
136,places
137,know
138,always
139,know
140,places
141,dead
142,night
143,eyes
144,green
145,know
146,places
147,know
148,always
149,know
150,places
151,i-i
152,i-i
153,recorder
154,click
