,Look What You've Done_Jet
0,take
1,my
2,photo
3,wall
4,won’t
5,sing
6,you
7,‘cause
8,that’s
9,left
10,gone
11,away
12,there’s
13,nothing
14,you
15,prove
16,oh
17,look
18,you’ve
19,done
20,you’ve
21,made
22,fool
23,everyone
24,oh
25,well
26,seems
27,likes
28,fun
29,you
30,lose
31,you
32,give
33,me
34,back
35,my
36,point
37,view
38,‘cause
39,i
40,can’t
41,think
42,you
43,i
44,hardly
45,hear
46,you
47,say
48,i
49,well
50,you
51,choose
52,oh
53,look
54,you’ve
55,done
56,you’ve
57,made
58,fool
59,everyone
60,oh
61,well
62,seems
63,likes
64,fun
65,you
66,lose
67,you
68,refrain
69,oh
70,look
71,you’ve
72,done
73,you’ve
74,made
75,fool
76,everyone
77,fool
78,everyone
79,fool
80,everyone
81,variant
82,take
83,my
84,photo
85,wall
86,won’t
87,sing
88,you
89,‘cause
90,that’s
91,left
92,gone
93,away
94,there’s
95,nothing
96,you
97,oh
98,look
99,you’ve
100,done
101,you’ve
102,made
103,fool
104,everyone
105,oh
106,well
107,seems
108,likes
109,fun
110,you
111,lose
112,you
113,coda
114,oh
115,look
116,you’ve
117,done
118,you’ve
119,made
120,fool
121,everyone
122,fool
123,everyone
124,fool
125,everyone
