,I'm Yours_Jason Mraz
0,well
1,you
2,done
3,done
4,me
5,you
6,bet
7,i
8,felt
9,i
10,tried
11,chill
12,you're
13,hot
14,i
15,melted
16,i
17,fell
18,right
19,cracks
20,i'm
21,trying
22,get
23,back
24,cool
25,done
26,run
27,i'll
28,giving
29,my
30,bestest
31,nothing's
32,gonna
33,stop
34,me
35,divine
36,intervention
37,i
38,reckon
39,my
40,turn
41,win
42,learn
43,i
44,hesitate
45,cannot
46,wait
47,i'm
48,yours
49,hmm
50,hey
51,hey
52,well
53,open
54,your
55,mind
56,see
57,like
58,me
59,open
60,your
61,plans
62,damn
63,you're
64,free
65,look
66,your
67,heart
68,you'll
69,find
70,love
71,love
72,love
73,love
74,listen
75,music
76,moment
77,people
78,dance
79,sing
80,we're
81,one
82,big
83,family
84,godforsaken
85,right
86,loved
87,love
88,love
89,love
90,loved
91,i
92,hesitate
93,cannot
94,wait
95,i'm
96,sure
97,postchorus
98,there's
99,need
100,complicate
101,time
102,short
103,fate
104,i'm
105,yours
106,ado
107,you
108,you
109,you
110,you
111,you
112,want
113,come
114,scooch
115,closer
116,dear
117,i
118,nibble
119,your
120,ear
121,asoo
122,da
123,ba
124,ba
125,ba
126,ba
127,bum
128,whoa
129,oh
130,oh
131,oh
132,whoa
133,oh
134,oh
135,oh
136,oh
137,whoa
138,whoa
139,whoa
140,uhhuh
141,hmm
142,i've
143,spending
144,way
145,long
146,checking
147,my
148,tongue
149,mirror
150,bending
151,backwards
152,try
153,see
154,clearer
155,my
156,breath
157,fogged
158,glass
159,i
160,drew
161,new
162,face
163,i
164,laughed
165,i
166,guess
167,i've
168,saying
169,ain't
170,better
171,reason
172,rid
173,yourself
174,vanities
175,go
176,seasons
177,aim
178,name
179,virtue
180,i
181,hesitate
182,cannot
183,wait
184,i'm
185,yours
186,well
187,open
188,your
189,mind
190,see
191,like
192,me
193,i
194,hesitate
195,open
196,your
197,plans
198,damn
199,you're
200,free
201,look
202,your
203,heart
204,you'll
205,find
206,cannot
207,wait
208,sky
209,yours
210,i'm
211,sure
212,there's
213,please
214,please
215,please
216,need
217,oh
218,there's
219,need
220,complicate
221,reggae
222,time
223,'cause
224,time
225,short
226,short
227,oh
228,oh
229,fate
230,fate
231,i'm
232,yours
233,ha
234,brr
235,da
236,ba
237,mmm
238,da
239,ba
240,bo
241,mmm
242,day
243,na
244,ch
245,doo
246,doo
247,ch
248,doo
249,doo
250,ch
251,doo
252,doo
253,mmm
254,doo
255,doo
256,hey
257,hey
258,oh
259,i'm
260,yours
261,ohoh
262,i'm
263,yours
264,ohohohoh
265,whoaohohoh
266,baby
267,you
268,believe
269,i'm
270,yours
271,you
272,best
273,believe
274,you
275,best
276,believe
277,i'm
278,yours
279,hmm
