,If You Don't Know Me by Now_Simply Red
0,know
1,never
2,never
3,never
4,know
5,uh-uh-uh
6,things
7,we've
8,understand
9,like
10,understand
11,girl
12,know
13,difference
14,right
15,wrong
16,ain't
17,gonna
18,nothing
19,break
20,happy
21,home
22,get
23,excited
24,come
25,home
26,little
27,late
28,night
29,'cause
30,act
31,like
32,children
33,argue
34,fuss
35,fight
36,know
37,know
38,never
39,never
40,never
41,know
42,uh
43,know
44,never
45,never
46,never
47,know
48,uh-uh-uh
49,we've
50,got
51,funny
52,moods
53,i've
54,got
55,mine
56,woman
57,got
58,trust
59,like
60,trust
61,long
62,we've
63,together
64,easy
65,get
66,together
67,might
68,well
69,say
70,goodbye
71,good
72,love
73,affair
74,can't
75,see
76,eye
77,eye
78,outro
79,know
80,know
81,never
82,never
83,never
84,know
85,uh-uh-uh
86,know
87,youuuu
88,never
89,never
90,never
91,know
92,never
93,never
94,never
95,know
96,uh-uh-uh
97,uh
98,know
99,uhhhh
100,never
101,never
102,never
103,know
