,Gorilla_Bruno Mars
0,ooh
1,i
2,got
3,body
4,full
5,liquor
6,cocaine
7,kicker
8,i'm
9,feeling
10,like
11,i'm
12,thirty
13,feet
14,tall
15,lay
16,lay
17,you
18,got
19,your
20,legs
21,sky
22,devil
23,your
24,eyes
25,let
26,me
27,hear
28,you
29,say
30,you
31,want
32,say
33,say
34,prechorus
35,look
36,you're
37,look
38,you've
39,done
40,jungle
41,you
42,can't
43,run
44,cause
45,i
46,got
47,you
48,i
49,promise
50,killa
51,you'll
52,banging
53,my
54,chest
55,bang
56,bang
57,gorilla
58,ooh
59,yeah
60,you
61,me
62,baby
63,making
64,love
65,like
66,gorillas
67,ooh
68,yeah
69,you
70,me
71,baby
72,making
73,love
74,like
75,gorillas
76,yeah
77,i
78,got
79,fistful
80,your
81,hair
82,you
83,look
84,like
85,you're
86,scared
87,you're
88,smiling
89,tell
90,me
91,daddy
92,yours
93,cause
94,you
95,know
96,i
97,like
98,you's
99,dirty
100,little
101,lover
102,neighbors
103,call
104,cops
105,call
106,sheriff
107,call
108,swat
109,stop
110,keep
111,rocking
112,knocking
113,door
114,you're
115,screaming
116,give
117,me
118,baby
119,give
120,me
121,motherfucker
122,prechorus
123,look
124,you're
125,look
126,you've
127,done
128,jungle
129,you
130,can't
131,run
132,cause
133,i
134,got
135,you
136,i
137,promise
138,killa
139,you'll
140,banging
141,my
142,chest
143,bang
144,bang
145,gorilla
146,ooh
147,yeah
148,you
149,me
150,baby
151,making
152,love
153,like
154,gorillas
155,ooh
156,yeah
157,you
158,me
159,baby
160,making
161,love
162,like
163,gorillas
164,i
165,bet
166,you
167,never
168,ever
169,felt
170,good
171,good
172,i
173,got
174,your
175,body
176,trembling
177,like
178,you'll
179,never
180,baby
181,i'm
182,done
183,yoooooooooou
184,yeah
185,breakdown
186,you
187,you
188,you
189,oho
190,you
191,me
192,baby
193,making
194,love
195,like
196,gorillas
197,oh
198,oh
199,oh
200,oh
201,yeah
202,yeah
203,you
204,me
205,baby
206,we'll
207,fucking
208,like
209,gorillas
210,oh
211,yeah
212,yeah
213,yeah
214,baby
215,baby
216,aw
217,yeah
218,you
219,me
220,baby
221,making
222,love
223,like
224,gorillas
225,live
226,girl
227,let
228,me
229,take
230,my
231,time
232,take
233,my
234,time
235,take
236,my
237,time
238,babe
239,i
240,want
241,one
242,smile
243,want
244,one
245,smile
246,want
247,one
248,smile
249,babe
250,i
251,lay
252,besides
253,you
254,girl
255,i
256,make
257,you
258,scream
259,yeah
260,yeah
261,girl
262,let
263,me
264,take
265,my
266,time
267,take
268,my
269,time
270,take
271,my
272,time
273,babe
274,i
275,want
276,one
277,smile
278,want
279,one
280,smile
281,want
282,one
283,smile
284,babe
285,i
286,get
287,inside
288,you
289,girl
290,i
291,make
292,you
293,scream
294,yeah
295,yeah
296,yeah
297,come
298,etc
299,yeah
300,yeah
301,yeah
