,Beneath Your Beautiful_Labrinth
0,labrinth
1,you
2,tell
3,boys
4,makes
5,you
6,feel
7,good
8,yeah
9,i
10,know
11,you're
12,my
13,league
14,scare
15,me
16,away
17,oh
18,you've
19,carried
20,long
21,you
22,stop
23,you
24,tried
25,you've
26,built
27,your
28,wall
29,high
30,one
31,could
32,climb
33,i'm
34,gonna
35,try
36,labrinth
37,would
38,you
39,let
40,me
41,see
42,beneath
43,your
44,beautiful
45,would
46,you
47,let
48,me
49,see
50,beneath
51,your
52,perfect
53,take
54,girl
55,take
56,girl
57,i
58,wanna
59,see
60,inside
61,would
62,you
63,let
64,me
65,see
66,beneath
67,your
68,beautiful
69,tonight
70,emeli
71,sandé
72,you
73,let
74,girls
75,go
76,makes
77,you
78,feel
79,good
80,behind
81,your
82,broadway
83,show
84,i
85,heard
86,boy
87,say
88,please
89,hurt
90,me
91,you've
92,carried
93,long
94,you
95,stop
96,you
97,tried
98,you've
99,built
100,your
101,wall
102,high
103,one
104,could
105,climb
106,i'm
107,gonna
108,try
109,emeli
110,sandé
111,would
112,you
113,let
114,me
115,see
116,beneath
117,your
118,beautiful
119,would
120,you
121,let
122,me
123,see
124,beneath
125,your
126,perfect
127,take
128,boy
129,take
130,boy
131,i
132,wanna
133,see
134,inside
135,would
136,you
137,let
138,me
139,see
140,beneath
141,your
142,beautiful
143,tonight
144,ohhh
145,tonight
146,see
147,beneath
148,see
149,beneath
150,itonight
151,i
152,labrinth
153,emeli
154,sandé
155,i'm
156,gonna
157,climb
158,top
159,your
160,ivory
161,tower
162,i'll
163,hold
164,your
165,hand
166,we'll
167,jump
168,right
169,we'll
170,falling
171,falling
172,that's
173,okay
174,'cause
175,i'll
176,right
177,i
178,wanna
179,know
180,labrinth
181,emeli
182,sandé
183,would
184,you
185,let
186,me
187,see
188,beneath
189,your
190,beautiful
191,would
192,you
193,let
194,me
195,see
196,beneath
197,your
198,perfect
199,take
200,girl
201,take
202,girl
203,'cause
204,i
205,wanna
206,see
207,inside
208,would
209,you
210,let
211,me
212,see
213,beneath
214,your
215,beautiful
216,tonight
217,oooh
218,oooh
219,ooh
220,tonight
221,see
222,beneath
223,your
224,beautiful
225,oh
226,tonight
227,ain't
228,perfect
229,ain't
230,perfect
231,would
232,you
233,let
234,me
235,see
236,beneath
237,your
238,beautiful
239,tonight
