,Beating Heart Baby_Head Automatica
0,beating
1,hearts
2,baby
3,baby
4,love
5,real
6,beating
7,hearts
8,baby
9,let
10,arms
11,feel
12,beating
13,hearts
14,baby
15,beating
16,heart
17,baby
18,beating
19,hearts
20,baby
21,beating
22,heart
23,baby
24,want
25,nothing
26,want
27,nothing
28,know
29,cause
30,know
31,baby
32,love
33,real
34,let
35,arms
36,feel
37,beating
38,heart
39,baby
40,beating
41,heart
42,baby
43,beating
44,hearts
45,baby
46,baby
47,love
48,real
49,beating
50,hearts
51,baby
52,let
53,arms
54,feel
55,beating
56,hearts
57,baby
58,beating
59,heart
60,baby
61,beating
62,hearts
63,baby
64,beating
65,heart
66,baby
67,girl
68,really
69,got
70,hold
71,really
72,got
73,hold
74,gotta
75,get
76,away
77,cause
78,want
79,nothing
80,baby
81,love
82,real
83,let
84,arms
85,feel
86,beating
87,heart
88,baby
89,beating
90,heart
91,baby
92,beating
93,hearts
94,baby
95,baby
96,love
97,real
98,beating
99,hearts
100,baby
101,let
102,arms
103,feel
104,beating
105,hearts
106,baby
107,beating
108,heart
109,baby
110,beating
111,hearts
112,baby
113,beating
114,heart
115,baby
116,bridge
117,spite
118,even
119,view
120,still
121,love
122,yeah
123,spite
124,even
125,view
126,still
127,love
128,yeah
129,want
130,nothing
131,want
132,nothing
133,baby
134,love
135,real
136,let
137,arms
138,feel
139,beating
140,heart
141,baby
142,beating
143,heart
144,baby
145,beating
146,hearts
147,baby
148,baby
149,love
150,real
151,beating
152,hearts
153,baby
154,let
155,arms
156,feel
157,beating
158,hearts
159,baby
160,beating
161,heart
162,baby
163,beating
164,hearts
165,baby
166,beating
167,heart
168,baby
169,beating
170,hearts
171,baby
172,baby
173,love
174,real
175,beating
176,hearts
177,baby
178,let
179,arms
180,feel
181,beating
182,hearts
183,baby
184,beating
185,heart
186,baby
187,beating
188,hearts
189,baby
190,beating
191,heart
192,baby
