,I'd Rather Dance With You_Kings of Convenience
0,i'd
1,rather
2,dance
3,you
4,talk
5,you
6,move
7,room
8,there's
9,space
10,us
11,shake
12,hey
13,i
14,like
15,tune
16,even
17,i
18,could
19,hear
20,you
21,said
22,i
23,doubt
24,my
25,reply
26,would
27,interesting
28,you
29,hear
30,i
31,read
32,single
33,book
34,year
35,film
36,i
37,saw
38,i
39,like
40,i'd
41,rather
42,dance
43,i'd
44,rather
45,dance
46,talk
47,you
48,i'd
49,rather
50,dance
51,i'd
52,rather
53,dance
54,talk
55,you
56,i'd
57,rather
58,dance
59,i'd
60,rather
61,dance
62,talk
63,you
64,music's
65,loud
66,noise
67,crowd
68,increases
69,chance
70,misinterpretation
71,let
72,your
73,hips
74,talking
75,i'll
76,make
77,you
78,laugh
79,acting
80,like
81,guy
82,sings
83,you'll
84,make
85,me
86,smile
87,really
88,getting
89,swing
90,getting
91,swing
92,getting
93,swing
94,getting
95,swing
96,getting
97,swing
