,Lovefool_The Cardigans
0,dear
1,fear
2,we're
3,facing
4,problem
5,love
6,longer
7,know
8,maybe
9,nothing
10,make
11,mama
12,tells
13,bother
14,ought
15,stick
16,another
17,man
18,man
19,surely
20,deserves
21,think
22,pre-chorus
23,cry
24,pray
25,beg
26,love
27,love
28,say
29,love
30,fool
31,fool
32,go
33,fool
34,love
35,love
36,pretend
37,love
38,leave
39,leave
40,say
41,need
42,cry
43,beg
44,love
45,love
46,say
47,love
48,leave
49,leave
50,say
51,need
52,can't
53,care
54,anything
55,lately
56,desperately
57,pondered
58,spent
59,nights
60,awake
61,wonder
62,could
63,done
64,another
65,way
66,make
67,stay
68,reason
69,lead
70,solution
71,end
72,lost
73,confusion
74,care
75,really
76,care
77,long
78,go
79,pre-chorus
80,cry
81,pray
82,beg
83,love
84,love
85,say
86,love
87,fool
88,fool
89,go
90,fool
91,love
92,love
93,pretend
94,love
95,leave
96,leave
97,say
98,need
99,cry
100,beg
101,love
102,love
103,say
104,love
105,leave
106,leave
107,say
108,need
109,can't
110,care
111,anything
112,anything
113,outro
114,love
115,love
116,say
117,love
118,fool
119,fool
120,go
121,fool
122,love
123,love
124,know
125,need
126,can't
127,care
128,anything
