,Treasure_Bruno Mars
0,baby
1,squirrel
2,you's
3,sexy
4,motherfucker
5,gimme
6,your
7,gimme
8,your
9,gimme
10,your
11,attention
12,baby
13,i
14,gotta
15,tell
16,you
17,little
18,somethin'
19,yourself
20,you're
21,wonderful
22,flawless
23,ooh
24,you're
25,sexy
26,lady
27,you
28,walk
29,around
30,like
31,you
32,wanna
33,someone
34,else
35,prechorus
36,i
37,know
38,you
39,know
40,you're
41,fine
42,fine
43,oh
44,girl
45,i'm
46,gonna
47,show
48,you
49,you're
50,mine
51,oh
52,mine
53,treasure
54,you
55,honey
56,you're
57,my
58,golden
59,star
60,you
61,know
62,you
63,make
64,my
65,wish
66,come
67,true
68,you
69,let
70,me
71,treasure
72,you
73,you
74,let
75,me
76,treasure
77,you
78,pretty
79,girl
80,pretty
81,girl
82,pretty
83,girl
84,you
85,smiling
86,girl
87,like
88,you
89,never
90,look
91,blue
92,you're
93,everything
94,i
95,see
96,my
97,dreams
98,i
99,say
100,you
101,true
102,prechorus
103,i
104,know
105,you
106,know
107,you're
108,fine
109,fine
110,oh
111,girl
112,i'm
113,gonna
114,show
115,you
116,you're
117,mine
118,oh
119,mine
120,treasure
121,you
122,honey
123,you're
124,my
125,golden
126,star
127,you
128,know
129,you
130,make
131,my
132,wish
133,come
134,true
135,you
136,let
137,me
138,treasure
139,you
140,you
141,let
142,me
143,treasure
144,you
145,interlude
146,you
147,my
148,treasure
149,you
150,my
151,treasure
152,you
153,my
154,treasure
155,yeah
156,you
157,you
158,you
159,you
160,you
161,my
162,treasure
163,you
164,my
165,treasure
166,you
167,my
168,treasure
169,yeah
170,you
171,you
172,you
173,you
174,treasure
175,you
176,honey
177,you're
178,my
179,golden
180,star
181,you
182,know
183,you
184,make
185,my
186,wish
187,come
188,true
189,you
190,let
191,me
192,treasure
193,you
194,you
195,let
196,me
197,treasure
198,you
