,The Engine Driver_The Decemberists
0,i'm
1,engine
2,driver
3,long
4,run
5,long
6,run
7,would
8,i
9,beside
10,her
11,long
12,one
13,long
14,one
15,you
16,love
17,me
18,let
19,me
20,go
21,you
22,love
23,me
24,let
25,me
26,go
27,i'm
28,county
29,lineman
30,high
31,line
32,high
33,line
34,my
35,grandson
36,powerlines
37,bloodlines
38,you
39,love
40,me
41,let
42,me
43,go
44,you
45,love
46,me
47,let
48,me
49,go
50,i
51,writer
52,writer
53,fictions
54,i
55,heart
56,you
57,call
58,home
59,i've
60,written
61,pages
62,upon
63,pages
64,trying
65,rid
66,you
67,my
68,bones
69,my
70,bones
71,my
72,bones
73,i'm
74,money
75,lender
76,i
77,fortunes
78,upon
79,fortunes
80,take
81,my
82,hand
83,tender
84,i
85,tortured
86,ever
87,tortured
88,you
89,love
90,me
91,let
92,me
93,go
94,you
95,love
96,me
97,let
98,me
99,go
100,i
101,writer
102,writer
103,fictions
104,i
105,heart
106,you
107,call
108,home
109,i've
110,written
111,pages
112,upon
113,pages
114,trying
115,rid
116,you
117,my
118,bones
119,i
120,writer
121,i
122,you
123,home
124,home
125,i've
126,written
127,pages
128,upon
129,pages
130,trying
131,rid
132,you
133,my
134,bones
135,my
136,bones
137,my
138,bones
139,you
140,love
141,me
142,let
143,me
144,go
145,you
146,love
147,me
148,let
149,me
150,go
151,you
152,love
153,me
154,let
155,me
156,go
157,you
158,love
159,me
160,let
161,me
162,go
