,Sweet Lady_Tyrese
0,oh
1,give
2,sweet
3,lady
4,sweet
5,lady
6,oh
7,want
8,lady
9,lady
10,oh
11,babe
12,sweet
13,lady
14,would
15,sweet
16,love
17,lifetime
18,i'll
19,need
20,call
21,receive
22,break
23,da
24,da
25,da
26,da
27,sweet
28,lady
29,baby
30,la
31,la
32,la
33,la
34,day
35,would
36,play
37,cool
38,can't
39,'cause
40,want
41,see
42,i'm
43,hooked
44,flex
45,style
46,wanna
47,talk
48,little
49,never
50,really
51,seen
52,type
53,must
54,admit
55,kinda
56,like
57,maybe
58,time
59,could
60,talk
61,bein'
62,sweet
63,lady
64,would
65,would
66,sweet
67,love
68,sweet
69,love
70,lifetime
71,lifetime
72,i’ll
73,i’ll
74,need
75,call
76,receive
77,sweet
78,lady
79,would
80,would
81,sweet
82,love
83,sweet
84,love
85,lifetime
86,lifetime
87,i’ll
88,i’ll
89,need
90,call
91,receive
92,regular
93,would
94,waste
95,time
96,want
97,'cause
98,damn
99,fine
100,heard
101,taken
102,stop
103,making
104,late
105,night
106,phone
107,calls
108,telephone
109,fantasies
110,ways
111,get
112,need
113,sweet
114,lady
115,sweet
116,lady
117,would
118,would
119,sweet
120,love
121,sweet
122,love
123,lifetime
124,lifetime
125,i’ll
126,i’ll
127,need
128,need
129,call
130,call
131,receive
132,receive
133,sweet
134,lady
135,would
136,would
137,sweet
138,love
139,sweet
140,love
141,lifetime
142,lifetime
143,i’ll
144,i’ll
145,need
146,need
147,call
148,call
149,sweet
150,lady
151,bridge
152,say
153,baby
154,say
155,lady
156,say
157,lady
158,i’ve
159,got
160,love
161,won’t
162,even
163,front
164,won’t
165,front
166,say
167,give
168,wanna
169,hear
170,maybe's
171,oh
172,give
173,heart
174,heart
175,say
176,you’ll
177,sweet
178,lady
179,oh…oh…
180,sweet
181,lady
182,baby
183,would
184,sweet
185,love
186,whoa
187,oh
188,lifetime
189,i’ll
190,need
191,call
192,receive
193,sweet
194,lady
195,would
196,sweet
197,love
198,lifetime
199,i’ll
200,i’ll
201,need
202,need
203,call
204,receive
205,whoa…oh…
206,sweet
207,lady
208,would
209,sweet
210,love
211,lifetime
212,i’ll
213,need
214,i’ll
215,call
216,call
217,baby
218,receive
219,receive
220,baby
221,would
222,sweet
223,love
224,lover
225,lifetime
226,i’ll
227,need
228,i’ll
229,call
230,oh
231,whoa
232,receive
233,oh
234,oh
235,oh
236,oh
237,outro
238,sweet
239,lady
240,would
241,oh
242,oh
243,sweet
244,lady
245,come
246,mine
247,sweet
248,lady
