,This Years Love_David Gray
0,year's
1,love
2,better
3,last
4,heaven
5,knows
6,high
7,time
8,i've
9,waiting
10,long
11,hold
12,like
13,feels
14,right
15,oh
16,start
17,forget
18,heart
19,gets
20,torn
21,hurt
22,gets
23,thrown
24,feeling
25,like
26,can't
27,go
28,turning
29,circles
30,time
31,cut
32,like
33,knife
34,oh
35,ya
36,love
37,got
38,know
39,sure
40,'cause
41,takes
42,something
43,time
44,sweet
45,sweet
46,lies
47,oh
48,open
49,arms
50,fall
51,losing
52,control
53,every
54,dream
55,inside
56,soul
57,pre-hook
58,ya
59,kiss
60,midnight
61,street
62,sweep
63,feet
64,singing
65,ain't
66,life
67,sweet
68,hook
69,year's
70,love
71,better
72,last
73,year's
74,love
75,better
76,last
77,'cause
78,who's
79,worry
80,hearts
81,get
82,torn
83,hurt
84,gets
85,thrown
86,ya
87,know
88,life
89,goes
90,pre-hook
91,ya
92,kiss
93,midnight
94,street
95,sweep
96,feet
97,singing
98,ain't
99,life
100,sweet
101,hook
102,year's
103,love
104,better
105,last
106,year's
107,love
108,better
109,last
110,year's
111,love
112,better
113,last
114,year's
115,love
116,better
117,last
118,year's
119,love
120,better
121,last
122,ooh
123,ah
124,yeah
125,year's
126,love
127,better
128,last
