,She Loves You_The Beatles
0,paul
1,mccartney
2,john
3,lennon
4,loves
5,yeah
6,yeah
7,yeah
8,loves
9,yeah
10,yeah
11,yeah
12,loves
13,yeah
14,yeah
15,yeah
16,yeah
17,paul
18,mccartney
19,john
20,lennon
21,think
22,lost
23,love
24,well
25,saw
26,yesterday
27,thinking
28,told
29,say
30,refrain
31,paul
32,mccartney
33,john
34,lennon
35,says
36,loves
37,know
38,can't
39,bad
40,yes
41,loves
42,know
43,glad
44,paul
45,mccartney
46,john
47,lennon
48,said
49,hurt
50,almost
51,lost
52,mind
53,said
54,knows
55,hurting
56,kind
57,refrain
58,paul
59,mccartney
60,john
61,lennon
62,says
63,loves
64,know
65,can't
66,bad
67,yes
68,loves
69,know
70,glad
71,ooh
72,paul
73,mccartney
74,john
75,lennon
76,loves
77,yeah
78,yeah
79,yeah
80,loves
81,yeah
82,yeah
83,yeah
84,love
85,like
86,know
87,glad
88,paul
89,mccartney
90,john
91,lennon
92,know
93,think
94,fair
95,pride
96,hurt
97,apologise
98,refrain
99,paul
100,mccartney
101,john
102,lennon
103,loves
104,know
105,can't
106,bad
107,loves
108,know
109,glad
110,ooh
111,paul
112,mccartney
113,john
114,lennon
115,loves
116,yeah
117,yeah
118,yeah
119,loves
120,yeah
121,yeah
122,yeah
123,love
124,like
125,know
126,glad
127,paul
128,mccartney
129,john
130,lennon
131,love
132,like
133,know
134,glad
135,love
136,like
137,know
138,glad
139,yeah
140,yeah
141,yeah
142,yeah
143,yeah
144,yeah
145,yeah
